source,wiki_sanity_source,target,wiki_sanity_target
Renin–angiotensin system,30100,Syst%C3%A8me_r%C3%A9nine-angiotensine-aldost%C3%A9rone,0
Coronary artery bypass surgery,49254,Pontage_coronarien,0
Edema,37232,%C5%92d%C3%A8me,0
Blood pressure,51115,Pression_art%C3%A9rielle,0
Thiazolidinedione,26745,Thiazolidinedione,0
Aconitum,44246,Aconitum,0
Endocarditis,23820,Endocardite,0
Aortic stenosis,48575,St%C3%A9nose_aortique,0
Variant angina,36050,Angor_de_Prinzmetal,0
Mitral valve prolapse,40513,Prolapsus_mitral,0
Differential diagnosis,61455,Diagnostic_diff%C3%A9rentiel,0
Coronary arteries,23387,Art%C3%A8re_coronaire,0
Arteriovenous malformation,32730,Malformation_art%C3%A9rioveineuse,0
Ketamine,122139,K%C3%A9tamine,0
Potassium-sparing diuretic,20225,Diur%C3%A9tique_%C3%A9pargneur_de_potassium,0
Amyloidosis,45143,Amylose_(maladie),0
Chest radiograph,32450,Radiographie_du_thorax,0
International Classification of Diseases,42655,Classification_internationale_des_maladies,0
Menopause,72908,M%C3%A9nopause,0
Hypoxemia,29913,Hypox%C3%A9mie,0
Heart block,24024,Trouble_de_la_conduction_cardiaque,0
Pulmonary circulation,68101,Circulation_pulmonaire,0
Heart transplantation,30973,Transplantation_cardiaque,0
Hyperthyroidism,51759,Hyperthyro%C3%AFdie,0
Metabolic equivalent of task,21695,%C3%89quivalent_m%C3%A9tabolique,0
Endocarditis,23820,Endocardite,0
Fatigue,34134,Fatigue_(physiologie),0
Junctional ectopic tachycardia,23792,Tachycardie_jonctionnelle_hisienne,0
Long QT syndrome,58432,Syndrome_du_QT_long,0
Hospice,43462,Hospice,0
Ejection fraction,21968,Fraction_d%27%C3%A9jection,0
Spironolactone,116121,Spironolactone,0
Cyclophosphamide,40031,Cyclophosphamide,0
Prostaglandin,35785,Prostaglandine,0
Action potential,110999,Potentiel_d%27action,0
Methylphenidate,89111,M%C3%A9thylph%C3%A9nidate,0
Chronic kidney disease,48913,Insuffisance_r%C3%A9nale_chronique,0
Coronary thrombosis,23317,Thrombose_coronaire,0
QT interval,29227,Intervalle_QT,0
Right ventricular hypertrophy,26738,Hypertrophie_ventriculaire_droite,0
Electrical conduction system of the heart,31707,Tissu_cardionecteur,0
Heart murmur,37814,Souffle_cardiaque,0
Kidney failure,31336,Insuffisance_r%C3%A9nale,0
Edema,37077,%C5%92d%C3%A8me,0
SGLT2 inhibitor,36027,Gliflozine,0
Medical diagnosis,38208,Diagnostic_(m%C3%A9decine),0
Ventricular fibrillation,38247,Fibrillation_ventriculaire,0
Wolff–Parkinson–White syndrome,36443,Syndrome_de_Wolff-Parkinson-White,0
Diastole,24867,Diastole,0
Cardiac output,62255,D%C3%A9bit_cardiaque,0
Right bundle branch block,22668,Bloc_de_branche#Bloc_de_branche_droit,0
Hepatomegaly,24319,H%C3%A9patom%C3%A9galie,0
Artificial cardiac pacemaker,65697,Stimulateur_cardiaque,0
Renin–angiotensin system,29906,Syst%C3%A8me_r%C3%A9nine-angiotensine-aldost%C3%A9rone,0
Syphilis,67278,Syphilis,0
Anagrelide,24495,Anagr%C3%A9lide,0
Sacubitril/valsartan,31571,valsartan,0
Sacubitril/valsartan,31397,valsartan,0
Adams–Stokes syndrome,19237,Syndrome_d%27Adams-Stokes,0
MedlinePlus,19540,MedlinePlus,0
Tachypnea,17903,Tachypn%C3%A9e,0
Connective tissue disease,28332,Connectivite,0
Alcoholic drink,58545,Boisson_alcoolis%C3%A9e,0
COX-2 inhibitor,43797,Coxib,0
Atrial flutter,30767,Flutter_atrial,0
Medical history,27624,Anamn%C3%A8se_(m%C3%A9decine),0
National Health Service,54643,National_Health_Service,0
Frank–Starling law,22373,Loi_de_Starling,0
Framingham Heart Study,28004,%C3%89tude_de_Framingham,0
Lung,78405,Poumon,0
Ayurveda,89241,Ayurveda,0
Salbutamol,41823,Salbutamol,0
Cardiology,66168,Cardiologie,0
Cancer,106437,Cancer,0
Food and Drug Administration,91491,Food_and_Drug_Administration,0
Pericardium,27472,P%C3%A9ricarde,0
Electrocardiography,77438,%C3%89lectrocardiographie,0
Crackles,19610,Cr%C3%A9pitant,0
Pericarditis,30752,P%C3%A9ricardite,0
Vital capacity,16449,Capacit%C3%A9_vitale,0
Apex beat,20710,Choc_de_pointe,0
Wheeze,19010,Sibilance,0
Kerley lines,16141,Ligne_de_Kerley,0
Auscultation,23897,Auscultation,0
Medical device,60702,Dispositif_m%C3%A9dical,0
Abdominojugular test,16780,Reflux_h%C3%A9pato-jugulaire,0
Humorism,44196,Th%C3%A9orie_des_humeurs,0
Andersen–Tawil syndrome,33392,Syndrome_d%27Andersen-Tawil,0
Liquorice,35241,R%C3%A9glisse,0
Sodium,57001,Sodium,0
Angina,48388,Angine_de_poitrine,0
Tamsulosin,29409,Tamsulosine,0
Human body weight,36345,Masse_corporelle_(anthropom%C3%A9trie),0
Actin,105109,Actine,0
Dilated cardiomyopathy,38222,Cardiomyopathie_dilat%C3%A9e,0
Ischemia,30397,Isch%C3%A9mie,0
Cannula,21766,Canule,0
Frank–Starling law,22399,Loi_de_Starling,0
Behaviour therapy,60138,B%C3%A9haviorisme,0
Dopamine agonist,45700,Agoniste_de_la_dopamine,0
Diet (nutrition),27609,Pratique_alimentaire,0
Chest radiograph,32602,Radiographie_du_thorax,0
Sensitivity and specificity,47042,Sensibilit%C3%A9_et_sp%C3%A9cificit%C3%A9,0
Multiple myeloma,65260,My%C3%A9lome,0
Pulseless electrical activity,21525,Dissociation_%C3%A9lectrom%C3%A9canique,0
Endocardium,20116,Endocarde,0
Sacrum,33144,Sacrum,0
Thiamine,43223,Vitamine_B1,0
Antihypertensive drug,40965,Antihypertenseur,0
Implantable cardioverter-defibrillator,36529,D%C3%A9fibrillateur_automatique_implantable,0
Isosorbide dinitrate,25847,Dinitrate_d%27isosorbide,0
Stem-cell therapy,54826,Cellule_souche_(m%C3%A9decine),0
Furosemide,49812,Furos%C3%A9mide,0
Itraconazole,31626,Itraconazole,0
Asian people,29329,Asiatique_(humain),0
Iron supplement,33935,Fer_(m%C3%A9dicament),0
Premature ventricular contraction,42620,Extrasystole_ventriculaire,0
Romano–Ward syndrome,35618,Syndrome_de_Romano-Ward,0
Left bundle branch block,19677,Bloc_de_branche,0
Anemia,62797,An%C3%A9mie,0
Bloodletting,36166,Saign%C3%A9e_(m%C3%A9decine),0
Short QT syndrome,30027,Syndrome_du_QT_court,0
Jugular venous pressure,27587,Pression_veineuse_jugulaire,0
Shortness of breath,38306,Dyspn%C3%A9e,0
Cardiac glycoside,24070,Digitalique,0
Sinoatrial block,21178,Bloc_sino-atrial,0
Diltiazem,33793,Diltiazem,0
Aortic valve,27474,Valve_aortique,0
Anasarca,18298,Anasarque,0
Calcium channel blocker,42833,Inhibiteur_calcique,0
Tricyclic antidepressant,95885,Antid%C3%A9presseur_tricyclique,0
Life expectancy,67144,Esp%C3%A9rance_de_vie_humaine,0
Electrolyte,32565,%C3%89lectrolyte,0
Patient UK,17806,Patient_UK,0
Cardiomyopathy,27544,Cardiomyopathie,0
List of ICD-9 codes,10874,Liste_de_codes_CIM-9,0
Jervell and Lange-Nielsen syndrome,25825,Syndrome_de_Jervell_et_Lange-Nielsen,0
Coronary artery disease,50566,Maladie_coronarienne,0
ACE inhibitor,49570,Inhibiteur_de_l%27enzyme_de_conversion,0
Wilhelm Röntgen,40829,Wilhelm_R%C3%B6ntgen,0
Tricuspid valve,20417,Valve_tricuspide,0
Intracranial hemorrhage,41379,H%C3%A9morragie_c%C3%A9r%C3%A9brale,0
Organ dysfunction,16014,Insuffisance_d%27organe,0
Acute respiratory distress syndrome,48323,Syndrome_de_d%C3%A9tresse_respiratoire_aigu%C3%AB,0
Blood test,26253,Bilan_sanguin,0
Hydralazine,27240,Hydralazine,0
Pericardial effusion,31890,%C3%89panchement_p%C3%A9ricardique,0
National Institute for Health and Care Excellence,46850,National_Institute_for_Health_and_Care_Excellence,0
Percussion (medicine),18432,Percussion_(m%C3%A9decine),0
Sodium chloride,46947,Chlorure_de_sodium,0
Pulmonary valve,18266,Valve_pulmonaire,0
X-ray,84965,Rayon_X,0
Potassium,66984,Potassium,0
Jean-Baptiste de Sénac,15444,Jean-Baptiste_S%C3%A9nac,0
Giovanni Maria Lancisi,21447,Giovanni_Maria_Lancisi,0
Weight loss,39910,Amaigrissement,0
Route of administration,37703,Voie_d%27administration,0
Clinical prediction rule,21635,Score_clinique,0
Hospital,64038,H%C3%B4pital,0
TNF inhibitor,27726,Inhibiteur_du_TNF,0
Cardiovascular disease,69840,Maladie_cardiovasculaire,0
Mitral valve,27624,Valve_mitrale,0
Pulmonary edema,29618,%C5%92d%C3%A8me_aigu_du_poumon,0
Oxygen therapy,86503,Oxyg%C3%A9noth%C3%A9rapie_normobare,0
C-reactive protein,35367,Prot%C3%A9ine_C_r%C3%A9active,0
Algorithm,108524,Algorithme,0
Valvular heart disease,45786,Valvulopathie_cardiaque,0
Hemopericardium,23798,H%C3%A9mop%C3%A9ricarde,0
Drimia maritima,19502,Scille_maritime,0
William Withering,35379,William_Withering,0
Dizziness,21625,%C3%89tourdissement,0
ACE inhibitor,49365,Inhibiteur_de_l%27enzyme_de_conversion,0
Arteriovenous fistula,20840,Fistule_art%C3%A9rio-veineuse,0
Acute liver failure,41255,Insuffisance_h%C3%A9patique_aigu%C3%AB,0
Encephalopathy,30603,Enc%C3%A9phalopathie,0
Coronary artery disease,50765,Maladie_coronarienne,0
Ventricular assist device,47148,Assistance_ventriculaire,0
Pulmonary heart disease,27198,C%C5%93ur_pulmonaire,0
Pulmonary hypertension,57715,Hypertension_art%C3%A9rielle_pulmonaire,0
Fibrosis,19921,Fibrose,0
Respiratory failure,23986,Insuffisance_respiratoire,0
Tetrandrine,29763,T%C3%A9trandrine,0
Heart valve,38388,Valve_cardiaque,0
AV nodal reentrant tachycardia,28188,Maladie_de_Bouveret,0
Avicenna,125477,Avicenne,0
Edema,37248,%C5%92d%C3%A8me,0
Coagulopathy,22821,Coagulopathie,0
Chest pain,37896,Douleur_thoracique,0
Medication,64868,M%C3%A9dicament,0
Percutaneous coronary intervention,36005,Angioplastie_coronaire,0
Myocarditis,40667,Myocardite,0
Iron supplement,33893,Fer_(m%C3%A9dicament),0
Clinical trial,88508,Essai_clinique,0
Traditional Chinese medicine,143547,M%C3%A9decine_traditionnelle_chinoise,0
Complete blood count,86183,H%C3%A9mogramme,0
Hirudo medicinalis,23535,Hirudo_medicinalis,0
Acute coronary syndrome,40686,Syndrome_coronarien_aigu,0
Therapy,40822,Traitement_(m%C3%A9decine),0
Hippocrates,63449,Hippocrate,0
Cardiomegaly,35798,Cardiom%C3%A9galie,0
Medical Subject Headings,27024,Medical_Subject_Headings,0
Angina,48538,Angine_de_poitrine,0
Alternative medicine,116699,M%C3%A9decine_non_conventionnelle,0
Gynura,16137,Gynura,0
Trastuzumab,57710,Trastuzumab,0
Pulmonary alveolus,29163,Alv%C3%A9ole_pulmonaire,0
Drinking water,43119,Eau_potable,0
Ventricular tachycardia,32913,Tachycardie_ventriculaire,0
Cocaine,140316,Coca%C3%AFne,0
Aortic regurgitation,31960,Insuffisance_aortique,0
Digoxin,49221,Digoxine,0
Minoxidil,41667,Minoxidil,0
L-type calcium channel,27616,Courant_calcique_de_type_L,0
Smoking cessation,76004,Sevrage_tabagique,0
Ivabradine,23765,Ivabradine,0
Angina,48538,Angine_de_poitrine,0
Beta blocker,54571,B%C3%AAta-bloquant,0
ABC (medicine),34168,Proc%C3%A9dure_ABCDEF_de_traitement_des_urgences_extrahospitali%C3%A8res,0
Johns Hopkins University,77803,Universit%C3%A9_Johns-Hopkins,0
Sensitivity and specificity,47042,Sensibilit%C3%A9_et_sp%C3%A9cificit%C3%A9,0
Obesity,102201,Ob%C3%A9sit%C3%A9,0
Power of attorney,32895,Contrat_de_mandat,0
Nonsteroidal anti-inflammatory drug,69654,Anti-inflammatoire_non_st%C3%A9ro%C3%AFdien,0
Cough,35983,Toux,0
Muscle contraction,55608,Contraction_musculaire,0
Pulmonary edema,29789,%C5%92d%C3%A8me_aigu_du_poumon,0
Arrhythmia,47193,Trouble_du_rythme_cardiaque,0
Lily of the valley,28922,Muguet_de_mai,0
Lead,147185,Plomb,0
Congestive hepatopathy,25333,Foie_cardiaque,0
Syndrome,24358,Syndrome,0
Orthopnea,18311,Orthopn%C3%A9e,0
Cirrhosis,71932,Cirrhose,0
Chagas disease,52667,Maladie_de_Chagas,0
Ultrasound,48002,Ultrason,0
Gossypol,17619,Gossypol,0
Palliative care,65008,Soins_palliatifs,0
Hyperthyroidism,51602,Hyperthyro%C3%AFdie,0
Histopathology,26611,Histopathologie,0
Hypertrophic cardiomyopathy,53299,Cardiomyopathie_hypertrophique,0
Multiple organ dysfunction syndrome,27362,Syndrome_de_d%C3%A9faillance_multivisc%C3%A9rale,0
Ventricle (heart),30627,Ventricule_cardiaque,0
Pathophysiology,26449,Physiopathologie,0
Electrocardiography,77581,%C3%89lectrocardiographie,0
Catheter,28492,Cath%C3%A9ter,0
Medical specialty,51374,Sp%C3%A9cialit%C3%A9_m%C3%A9dicale,0
Signs and symptoms,46023,Signe_clinique,0
Bronchus,27000,Bronche,0
Stroke volume,19904,Volume_d%27%C3%A9jection_systolique,0
Left ventricular hypertrophy,21256,Hypertrophie_ventriculaire_gauche,0
Heart failure,93700,Insuffisance_cardiaque_chez_l%27humain,0
Atrial fibrillation,84485,Fibrillation_atriale,0
Aorta,33448,Aorte,0
Myosin,36944,Myosine,0
Circulatory system,100933,Syst%C3%A8me_circulatoire,0
Ejection fraction,21968,Fraction_d%27%C3%A9jection,0
Arrhythmia,47189,Trouble_du_rythme_cardiaque,0
Vascular resistance,34218,R%C3%A9sistance_vasculaire,0
Jugular venous pressure,27583,Pression_veineuse_jugulaire,0
Ascites,30286,Ascite,0
Tachycardia,34677,Tachycardie,0
William Stokes (physician),19328,William_Stokes,0
Supraventricular tachycardia,35580,Tachycardie_supraventriculaire,0
Tricuspid regurgitation,30245,Insuffisance_tricuspide,0
Eplerenone,24571,%C3%89pl%C3%A9r%C3%A9none,0
Ventricle (heart),30840,Ventricule_cardiaque,0
Antiarrhythmic agent,29214,Antiarythmique,0
Cardiomegaly,35548,Cardiom%C3%A9galie,0
Diabetes,66650,Diab%C3%A8te_sucr%C3%A9,0
Daunorubicin,26292,Daunorubicine,0
Yohimbine,63908,Yohimbine,0
Pregabalin,60029,Pr%C3%A9gabaline,0
Alcoholism,86000,Alcoolisme,0
Heart transplantation,31140,Transplantation_cardiaque,0
René Laennec,28581,Ren%C3%A9_Laennec,0
Vasodilation,37690,Vasodilatateur,0
Autopsy,48556,Autopsie,0
Torsades de pointes,30063,Torsades_de_pointe,0
Infant,46034,Nourrisson,0
Children's hospital,27313,H%C3%B4pital_pour_enfants,0
Diabetic hypoglycemia,29237,Hypoglyc%C3%A9mie_diab%C3%A9tique,0
G protein-coupled receptor,68263,R%C3%A9cepteur_coupl%C3%A9_aux_prot%C3%A9ines_G,0
Nobel Peace Prize,35244,Prix_Nobel_de_la_paix,0
Alogliptin,22500,Alogliptine,0
Attention deficit hyperactivity disorder,98700,Trouble_du_d%C3%A9ficit_de_l%27attention_avec_ou_sans_hyperactivit%C3%A9,0
Photodissociation region,18129,R%C3%A9gion_de_photodissociation,0
s-process,27110,Processus_s,0
Diving reflex,61688,R%C3%A9flexe_d%27immersion_chez_les_mammif%C3%A8res,0
Robert Darwin,23672,Robert_Darwin,0
Species,66381,Esp%C3%A8ce,0
William Nierenberg,29327,William_Nierenberg,0
Opium,108393,Opium,0
Shangdi,37259,Shang_Di,0
Student's t-test,60398,Test_de_Student,0
Sodium carbonate,41189,Carbonate_de_sodium,0
Benzbromarone,19950,Benzbromarone,0
Autopsy,48787,Autopsie,0
Blood,65868,Sang,0
Philip Seymour Hoffman,108556,Philip_Seymour_Hoffman,0
Oral contraceptive pill,15911,Contraception_orale,0
Intravaginal administration,13562,Voie_vaginale,0
Polyp (medicine),37543,Polype_(m%C3%A9decine),0
Retrovirus,57853,Retroviridae,0
Crystal healing,38529,Lithoth%C3%A9rapie,0
Jarvis Cocker,43112,Jarvis_Cocker,0
Esophagogastroduodenoscopy,28632,Endoscopie_digestive_haute,0
Thermocline,64104,Thermocline,0
Hyaluronic acid,41403,Acide_hyaluronique,0
Abscess,40136,Abc%C3%A8s,0
Constitutionality,17960,Inconstitutionnalit%C3%A9,0
Mount Sinai Hospital (Manhattan),40973,H%C3%B4pital_Mont_Sina%C3%AF_(New_York),0
Jāti,17515,Jati,0
Yellowtail amberjack,19539,Seriola_lalandi,0
Alpha-synuclein,48738,Alpha-synucl%C3%A9ine,0
Capital punishment,130349,Peine_de_mort,0
Myelitis,29946,My%C3%A9lite,0
Patient,25176,Patient,0
Pulmonary wedge pressure,16512,Pression_art%C3%A9rielle_pulmonaire_d%27occlusion,0
Vaccine hesitancy,141029,Controverse_sur_la_vaccination,0
Dehydroepiandrosterone,85466,D%C3%A9hydro%C3%A9piandrost%C3%A9rone,0
Gross domestic product,69768,Produit_int%C3%A9rieur_brut,0
Multi-stage fitness test,19522,Test_de_L%C3%A9ger,0
Ibn Khafaja,21706,Ibn_Khafadja,0
Mucin,22479,Mucine,0
Tetanospasmin,26971,T%C3%A9tanospasmine,0
Serology,25179,S%C3%A9rologie,0
AP5,23167,Acide_2-amino-5-phosphonoval%C3%A9rique,0
Danaparoid,20387,Danaparo%C3%AFde_sodique,0
Al-Farghani,30372,Al-Farghani,0
Prazosin,31879,Prazosine,0
Transmission electron microscopy,90201,Microscopie_%C3%A9lectronique_en_transmission,0
PubMed Central,26249,PubMed_Central,0
Chemoreceptor,31142,Chimior%C3%A9cepteur,0
Carcinoid,27548,Tumeur_carcino%C3%AFde,0
Esophageal rupture,28544,Syndrome_de_Boerhaave,0
Respirator,51490,Masque_de_protection,0
Cottonseed oil,31713,Huile_de_coton,0
"Myosin binding protein C, cardiac",42317,MYBPC3,0
Marathon,84985,Marathon_(sport),0
Diabetes medication,48471,Antidiab%C3%A9tique,0
Phytomenadione,25939,Phylloquinone,0
Circulatory collapse,19098,Collapsus_(m%C3%A9decine),0
Bcl-2,34739,Bcl-2,0
Patients' rights,23763,Droits_des_patients,0
Tarsus (skeleton),25667,Tarse_(anatomie),0
Lung,78373,Poumon,0
Colin Munro MacLeod,19976,Colin_Munro_MacLeod,0
Nadolol,28020,Nadolol,0
Coconut oil,35833,Huile_de_coco,0
Star,98094,%C3%89toile,0
Influenza A virus subtype H7N9,61234,Virus_de_la_grippe_A_(H7N9),0
Amenorrhea,36545,Am%C3%A9norrh%C3%A9e,0
Urbanization,79387,Urbanisation,0
Jargon,26336,Jargon,0
Common bile duct,18800,Conduit_chol%C3%A9doque,0
Statistical model,39611,Mod%C3%A8le_statistique,0
Atmospheric pressure,67153,Pression_atmosph%C3%A9rique,0
Excavata,30498,Excavata,0
Kalam,42953,Kal%C3%A2m,0
Simulated annealing,45442,Recuit_simul%C3%A9,0
Automated insulin delivery system,35485,Pancr%C3%A9as_artificiel,0
Molar concentration,25368,Concentration_molaire,0
Paronychia,34160,Panaris,0
T helper cell,51048,Lymphocyte_T_auxiliaire,0
List of minor planets: 6001–7000,117305,Liste_des_plan%C3%A8tes_mineures_(6001-7000),0
Berberis vulgaris,25723,%C3%89pine-vinette,0
Absinthe,83120,Absinthe_(spiritueux),0
Yakshagana,59833,Yakshagana,0
The Physician,23367,Le_M%C3%A9decin_d%27Ispahan,0
Directed differentiation,25549,Diff%C3%A9renciation_dirig%C3%A9e,0
Confounding,42525,Facteur_de_confusion,0
Bronchoscopy,27424,Bronchoscopie,0
"Ashland, Massachusetts",47009,Ashland_(Massachusetts),0
Anabolic steroid,131950,St%C3%A9ro%C3%AFde_anabolisant,0
Operations research,53783,Recherche_op%C3%A9rationnelle,0
p-value,52614,Valeur_p,0
Shark fin soup,41673,Soupe_d%27ailerons_de_requin,0
Ouroboros,49634,Ouroboros,0
Pathophysiology,26284,Physiopathologie,0
Dopamine beta-hydroxylase,34569,Dopamine_b%C3%AAta-hydroxylase,0
Codex Alimentarius,30313,Codex_Alimentarius,0
Diabetes,66853,Diab%C3%A8te_sucr%C3%A9,0
SCN1A,27971,SCN1A,0
Peripheral neuropathy,55027,Neuropathie_p%C3%A9riph%C3%A9rique,0
Arginase,27672,Arginase,0
Voltage-gated ion channel,27174,Canal_tensiod%C3%A9pendant,0
Esophagus,53440,%C5%92sophage,0
Theodore Roosevelt,232726,Theodore_Roosevelt,0
Space debris,123004,D%C3%A9bris_spatial,0
Hypercalcaemia,32914,Hypercalc%C3%A9mie,0
Suprachiasmatic nucleus,31455,Noyau_suprachiasmatique,0
Mitch Hedberg,24228,Mitch_Hedberg,0
Micrograph,21577,Photomicrographie,0
Depth gauge,64582,Profondim%C3%A8tre,0
Magnesium deficiency,33160,Hypomagn%C3%A9s%C3%A9mie,0
Robert Robinson (chemist),36614,Robert_Robinson,0
Iatrogenesis,26938,Iatrog%C3%A9n%C3%A8se,0
Genistein,55274,G%C3%A9nist%C3%A9ine,0
Inner ear,35888,Oreille_interne,0
National Academy of Sciences,38211,Acad%C3%A9mie_nationale_des_sciences,0
Anterior tibial artery,17885,Art%C3%A8re_tibiale_ant%C3%A9rieure,0
Muslim conquests in the Indian subcontinent,156452,Conqu%C3%AAtes_musulmanes_des_Indes,0
Calorie restriction,25303,Restriction_calorique,0
Pyrometallurgy,21161,Pyrom%C3%A9tallurgie,0
Erasmus,102554,%C3%89rasme,0
Trimethoxyamphetamine,52020,Trim%C3%A9thoxyamph%C3%A9tamine,0
Endurance,16708,Endurance,0
Medical research,44430,Recherche_m%C3%A9dicale,0
Yeast in winemaking,58842,Levure_en_vinification,0
Plasminogen activator inhibitor-1,27563,PAI-1,0
Red wine,31481,Vin_rouge,0
