source,wiki_sanity_source,target,wiki_sanity_target
Angiography,30955,Angiografie,0
Alcoholic drink,57577,Alcoholische_drank,0
Fatigue,31495,Fatigue,0
Edema,34834,Oedeem,0
Torsades de pointes,30026,Torsade_de_Pointes,0
Atrial fibrillation,83695,Boezemfibrilleren,0
Cardiovascular disease,69392,Hart-_en_vaatziekten,0
Hyponatremia,35522,Hyponatri%C3%ABmie,0
Lupus,81640,Systemische_lupus_erythematodes,0
Drinking water,42356,Drinkwater,0
Pulmonary edema,29750,Longoedeem,0
Electrocardiography,76532,Elektrocardiogram,0
Pulmonary edema,29579,Longoedeem,0
Aconitum,44989,Monnikskap,0
Edema,34663,Oedeem,0
Coronary arteries,23190,Kransslagader,0
Quality of life,34886,Kwaliteit_van_leven,0
Sinus tachycardia,22886,Sinustachycardie,0
Cirrhosis,71503,Cirrose,0
Sacrum,32237,Heiligbeen,0
Andersen–Tawil syndrome,33344,Syndroom_van_Andersen-Tawil,0
HIV/AIDS,111284,Aids,0
Hippocrates,64148,Hippocrates_van_Kos,0
Diabetes,67210,Diabetes_mellitus,0
Mitral regurgitation,40658,Mitralisinsuffici%C3%ABntie,0
Myosin,36194,Myosine,0
Splenomegaly,32677,Splenomegalie,0
Vasodilation,35384,Vasodilatatie,0
Route of administration,37664,Toediening,0
Stroke volume,19916,Slagvolume,0
Chest pain,37859,Pijn_op_de_borst,0
Amyloidosis,44753,Amylo%C3%AFdose,0
Frank–Starling law,22362,Frank-Starlingmechanisme,0
Pulmonary valve,16521,Pulmonalisklep,0
Antiarrhythmic agent,29245,Antiaritmica,0
Echocardiography,39743,Echocardiografie,0
Minoxidil,41168,Minoxidil,0
Beta blocker,54583,B%C3%A8tablokkers,0
Digitalis,32645,Vingerhoedskruid_(geslacht),0
Heart failure,91006,Hartfalen,0
Cough,34403,Hoest,0
Weight loss,38234,Vermagering,0
Acute respiratory distress syndrome,47450,Acute_respiratory_distress_syndrome,0
Algorithm,105891,Algoritme,0
Hyperthyroidism,50962,Thyreotoxicose,0
Pulmonary alveolus,28405,Longblaasje,0
Aorta,33294,Aorta,0
Cardiac muscle,39411,Hartspier,0
Ultrasound,47730,Ultrageluid,0
Acute coronary syndrome,39038,Acuut_coronair_syndroom,0
Sensitivity and specificity,46413,Sensitiviteit_en_specificiteit,0
Complete blood count,86076,Differenti%C3%ABle_telling_van_bloedcellen,0
Pericardium,25807,Pericard,0
Bradycardia,27628,Bradycardie,0
Inotrope,18351,Inotropie,0
Diastole,23392,Diastole_(hart),0
Blood pressure,51939,Bloeddruk,0
Artificial cardiac pacemaker,64221,Pacemaker,0
Fatigue,31479,Fatigue,0
Cerebral edema,57324,Hersenoedeem,0
List of chemotherapeutic agents,19612,Chemotherapie#Klassieke_cytostatica,0
Obesity,102991,Obesitas,0
Wilhelm Röntgen,38551,Wilhelm_R%C3%B6ntgen,0
Potassium-sparing diuretic,20096,Kaliumsparend_diureticum,0
Diet (nutrition),25202,Dieet,0
Signs and symptoms,45962,Klinisch_teken,0
Cardiology,63776,Cardiologie,0
Behaviour therapy,58471,Gedragstherapie,0
Angiotensin II receptor blocker,40459,Angiotensine_II-receptorantagonisten,0
Metabolic equivalent of task,21657,MET-waarde,0
Sodium chloride,46086,Natriumchloride,0
Mitral regurgitation,40484,Mitralisinsuffici%C3%ABntie,0
European Society of Cardiology,22537,European_Society_of_Cardiology,0
Ventricular hypertrophy,29930,Ventrikelhypertrofie,0
Physical examination,34372,Lichamelijk_onderzoek,0
Percutaneous coronary intervention,35948,Percutane_coronaire_interventie,0
Diltiazem,33640,Diltiazem,0
Medical history,27587,Anamnese_(medisch),0
Bundle branch block,21428,Bundeltakblok,0
Opiate,39489,Opiaten,0
Syphilis,68018,Syfilis,0
Power of attorney,31292,Volmacht_(juridisch),0
Christiaan Barnard,50023,Christiaan_Barnard,0
Dizziness,20840,Duizeligheid,0
Ventricle (heart),30694,Ventrikel_(hart),0
Avicenna,124585,Avicenna,0
Hyperthyroidism,50805,Thyreotoxicose,0
Cardiac tamponade,31411,Harttamponnade,0
Myocardial infarction,86344,Hartinfarct,0
Action potential,109384,Actiepotentiaal,0
L-type calcium channel,28144,L-type-calciumkanaal,0
ACE inhibitor,48533,ACE-remmers,0
Coagulopathy,22708,Stollingsstoornis,0
Ebers Papyrus,21190,Papyrus_Ebers,0
ICD-10,26625,ICD-10,0
MedlinePlus,18475,MedlinePlus,0
Nonsteroidal anti-inflammatory drug,67222,NSAID%27s,0
Pleural effusion,36762,Pleuravocht,0
Sodium,56844,Natrium,0
Implantable cardioverter-defibrillator,34945,Implanteerbare_cardioverter-defibrillator,0
Renin–angiotensin system,29940,Bloeddrukregulatie,0
Heart valve,35162,Hartklep,0
Ivabradine,23078,Ivabradine,0
Echocardiography,39901,Echocardiografie,0
Clinical trial,86215,Klinisch_onderzoek,0
Prostaglandin,35651,Prostaglandinen,0
Heart failure,90966,Hartfalen,0
Loop diuretic,26284,Lisdiuretica,0
Aortic stenosis,47087,Aortastenose,0
Palliative care,63314,Palliatieve_zorg,0
VO2 max,22361,VO2max,0
Encephalopathy,29012,Encefalopathie,0
ABC (medicine),33401,ABCDE-methode,0
Ayurveda,88316,Ayurveda,0
Hospital,62777,Ziekenhuis,0
Hypertrophic cardiomyopathy,53511,Hypertrofische_obstructieve_cardiomyopathie,0
Alternative medicine,115813,Alternatieve_geneeswijze,0
Pregabalin,59849,Pregabaline,0
Lily of the valley,27733,Lelietje-van-dalen,0
Cardiac asthma,22358,Asthma_cardiale,0
Aortic regurgitation,31162,Aorta-insuffici%C3%ABntie,0
Medical specialty,49289,Medisch_specialisme,0
Tricyclic antidepressant,97344,Tricyclische_antidepressiva,0
International Classification of Diseases,39842,International_Statistical_Classification_of_Diseases_and_Related_Health_Problems,0
Hypertension,70052,Hypertensie,0
Cancer,104122,Kanker,0
Blood vessel,34973,Bloedvat,0
Beta blocker,54431,B%C3%A8tablokkers,0
Left ventricular hypertrophy,21190,Linkerventrikelhypertrofie,0
Systole,31816,Systole_(hart),0
Tricuspid valve,20323,Tricuspidalisklep,0
Fibrosis,19877,Fibrose,0
Pneumonia,74953,Longontsteking,0
Endocarditis,23006,Endocarditis,0
Hydralazine,26827,Hydralazine,0
Diuretic,31163,Diureticum,0
Traditional Chinese medicine,137901,Traditionele_Chinese_geneeskunde,0
Histopathology,24318,Histopathologie,0
Confusion,24443,Verwardheid,0
Medical Subject Headings,26288,Medical_Subject_Headings,0
Cardiac arrest,73114,Hartstilstand,0
William Harvey,62305,William_Harvey,0
Heart transplantation,30948,Harttransplantatie,0
Calcium channel blocker,42371,Calciumantagonisten,0
Autopsy,47702,Autopsie,0
Iron supplement,33890,Staalpillen,0
Central venous pressure,17566,Centraal-veneuze_druk,0
Aortic valve,25882,Aortaklep,0
Implantable cardioverter-defibrillator,35162,Implanteerbare_cardioverter-defibrillator,0
Kidney failure,31243,Nierfalen,0
Antihypertensive drug,40863,Antihypertensiva,0
Lead,145757,Lood_(element),0
Mitral valve,25997,Mitralisklep,0
Arrhythmia,45260,Hartritmestoornis,0
Lung,76063,Long_(orgaan),0
Ascites,30060,Ascites_(medisch),0
Cannula,19505,Canule_(medisch_instrument),0
Hepatomegaly,23557,Hepatomegalie,0
Cyclophosphamide,39674,Cyclofosfamide,0
Heart,114043,Hart,0
William Withering,34629,William_Withering,0
Differential diagnosis,59103,Differenti%C3%ABle_diagnose,0
Chest radiograph,31852,Thoraxfoto,0
Bronchus,26949,Luchtpijpvertakking,0
Nocturia,26956,Nycturie,0
Nephrotic syndrome,50329,Nefrotisch_syndroom,0
Methylphenidate,88159,Methylfenidaat,0
Liquorice,34431,Zoethout,0
Shortness of breath,37636,Benauwdheid,0
Cobalt,69164,Kobalt,0
Angina,46879,Angina_pectoris,0
Cardiac arrest,72957,Hartstilstand,0
Infection,92748,Infectie,0
TNF inhibitor,27707,TNF-alfa-remmers,0
Therapy,39368,Therapie,0
Iron supplement,33932,Staalpillen,0
Chest radiograph,31840,Thoraxfoto,0
Humorism,42424,Humores,0
Methamphetamine,101665,Methamfetamine,0
Yohimbine,62373,Yohimbine,0
Ventricle (heart),30495,Ventrikel_(hart),0
Coronary artery disease,50351,Ischemische_hartklachten,0
Exercise,58545,Lichaamsbeweging,0
Itraconazole,31639,Itraconazol,0
Angina,46879,Angina_pectoris,0
American Heart Association,23505,American_Heart_Association,0
Coronary artery bypass surgery,48430,Overbruggingsoperatie,0
Muscle contraction,55117,Spiercontractie,0
Thiamine,42621,Thiamine,0
Ventricle (heart),30708,Ventrikel_(hart),0
Arteriovenous malformation,30786,Arterioveneuze_malformatie,0
C-reactive protein,34938,C-reactief_prote%C3%AFne,0
Sensitivity and specificity,46413,Sensitiviteit_en_specificiteit,0
Gold standard (test),25306,Gouden_standaard_(geneeskunde),0
Ventricular fibrillation,38195,Ventrikelfibrilleren,0
Spontaneous coronary artery dissection,29203,Spontane_dissectie_van_de_kransslagader,0
Smoking cessation,75303,Stoppen_met_roken,0
Chronic obstructive pulmonary disease,94709,COPD,0
Blood test,26022,Bloedonderzoek,0
Pleural cavity,28004,Pleurale_ruimte,0
Intracranial hemorrhage,40693,Hersenbloeding,0
Long QT syndrome,58404,Lange-QT-syndroom,0
Respiratory failure,23916,Respiratoire_insuffici%C3%ABntie,0
Salbutamol,41453,Salbutamol,0
Orthopnea,18282,Orthopneu,0
Willem Einthoven,27690,Willem_Einthoven,0
Constrictive pericarditis,20883,Pericarditis_constrictiva,0
Pericarditis,30708,Pericarditis,0
Shortness of breath,37489,Benauwdheid,0
Angina,46731,Angina_pectoris,0
Endocarditis,23006,Endocarditis,0
Hospice,43264,Hospice,0
Verapamil,41623,Verapamil,0
Alcoholism,86953,Alcoholisme,0
Ischemia,28134,Ischemie,0
Anagrelide,24425,Anagrelide,0
Stem-cell therapy,53263,Stamceltherapie,0
Medication,62261,Geneesmiddel,0
X-ray,83829,R%C3%B6ntgenstraling,0
Therapy,39209,Therapie,0
Renin–angiotensin system,30133,Bloeddrukregulatie,0
Tachycardia,33127,Tachycardie,0
Preventive healthcare,90775,Preventieve_gezondheidszorg,0
Heart,114043,Hart,0
Catheter,27758,Katheter,0
René Laennec,27830,Ren%C3%A9_Laennec,0
Life expectancy,64772,Levensverwachting,0
Tricuspid regurgitation,29498,Tricuspidalisinsuffici%C3%ABntie,0
Vasopressin,47406,Antidiuretisch_hormoon,0
Menopause,70201,Menopauze,0
ACE inhibitor,48738,ACE-remmers,0
Electrolyte,32027,Elektrolyt,0
Cardiomyopathy,26231,Cardiomyopathie,0
Spironolactone,116047,Spironolacton,0
Rheumatic fever,43937,Acuut_reuma,0
Ketamine,120221,Ketamine,0
Wolff–Parkinson–White syndrome,36585,Syndroom_van_Wolff-Parkinson-White,0
Rifampicin,46489,Rifampicine,0
Bronchitis,35428,Bronchitis,0
Antipsychotic,107492,Antipsychotica,0
Electromagnetism,42241,Elektromagnetisme,0
Pituitary gland,36355,Hypofyse,0
Reverse triiodothyronine,19263,Reverse_tri-joodthyronine,0
Takotsubo cardiomyopathy,42440,Takotsubocardiomyopathie,0
Parasitism,82400,Parasitisme,0
Symporter,17157,Symporter,0
Immunoglobulin A,25008,Immunoglobuline_A,0
Ernst Chladni,32881,Ernst_Chladni,0
Devi,50800,Devi_(hindoe%C3%AFsme),0
Diethyl ether,48717,Di-ethylether,0
Invertebrate,35995,Ongewervelden,0
Achillea millefolium,38027,Duizendblad_(soort),0
Type I and type II errors,48466,Fout_(statistiek),0
Periphanes,16410,Periphanes,0
Off-label use,31855,Niet-geregistreerd_gebruik,0
Tajikistan,105296,Tadzjikistan,0
Erysimum cheiranthoides,20397,Gewone_steenraket,0
John Eudes,35201,Johannes_Eudes,0
Low back pain,62320,Lumbago,0
Lead(IV) acetate,19473,Lood(IV)acetaat,0
Neonatal conjunctivitis,26779,Ophthalmia_neonatorum,0
Stephen Jay Gould,71966,Stephen_Jay_Gould,0
Orthohantavirus,50951,Hantavirus,0
Erythropoiesis,21891,Erytropo%C3%ABse,0
Consolida,18583,Ridderspoor_(Consolida),0
Digoxin,49054,Digoxine,0
Austrian wine,40050,Wijnbouw_in_Oostenrijk,0
Macrocephaly,27272,Macrocefalie,0
Pyrrhia exprimens,15618,Pyrrhia_exprimens,0
Hugh Huxley,24469,Hugh_Huxley,0
Arno Allan Penzias,32211,Arno_Allan_Penzias,0
Relapsing polychondritis,35905,Polychondritis_recidivans,0
Pattern hair loss,44112,Alopecia_androgenetica,0
Tarragon,26086,Dragon_(plant),0
Cachaça,26351,Cacha%C3%A7a,0
Onion,57926,Ui_(plant),0
Lithium beryllide,15185,Lithiumberyllium,0
Idiopathic pulmonary fibrosis,51423,Idiopathische_pulmonale_fibrose,0
Nasal polyp,31294,Neuspoliepen,0
Protagoras (dialogue),39222,Protagoras_(Plato),0
Loligo forbesii,14438,Noordse_pijlinktvis,0
Regret,29878,Spijt,0
Iron Age,53422,IJzertijd,0
Hypoactive sexual desire disorder,44319,Frigide,0
Trigeminal nerve,50667,Nervus_trigeminus,0
G protein,37180,G-prote%C3%AFne,0
Subliminal stimuli,30117,Subliminale_boodschap,0
C4 carbon fixation,38243,C4-plant,0
Polyvinyl chloride,68300,Polyvinylchloride,0
Kainite,14722,Ka%C3%AFniet,0
Elsevier,68787,Elsevier_(uitgeverij),0
Sunscreen,57362,Zonnebrandcr%C3%A8me,0
"Split, Croatia",92187,Split,0
Jeanette Epps,58657,Jeanette_Epps,0
Aldehyde dehydrogenase,28077,Aldehydedehydrogenase,0
Parasympathomimetic drug,27792,Parasympathicomimeticum,0
Nonsteroidal anti-inflammatory drug,67001,NSAID%27s,0
Natalizumab,39685,Natalizumab,0
Amplitude,22247,Amplitude,0
Phosphatidylcholine,29423,Fosfatidylcholine,0
Edema,34663,Oedeem,0
Menopause,70201,Menopauze,0
Meitnerium,41186,Meitnerium,0
Lead(II) oxide,27666,Lood(II)oxide,0
George Beadle,35790,George_Wells_Beadle,0
Vaccine,82580,Vaccin,0
Mood (psychology),33836,Gemoedstoestand,0
Trisomy,19892,Trisomie,0
Particle,24378,Deeltje,0
Dietitian,50487,Di%C3%ABtist,0
University of Washington,78733,Universiteit_van_Washington,0
Fibroma,20877,Fibroom,0
Hypothermia,89279,Hypothermie,0
Pus,17006,Pus,0
Coronary artery disease,50339,Ischemische_hartklachten,0
Maha Shivaratri,45138,Mahashivaratri,0
Delusion,46186,Waan,0
Decision theory,41234,Besluitvormingstheorie,0
Praxiteles,28981,Praxiteles,0
Enna,39388,Enna_(stad),0
Chemically inert,13418,Chemisch_inert,0
Ventricle (heart),30716,Ventrikel_(hart),0
Countercurrent exchange,38880,Tegenstroomprincipe,0
Sirenia (band),30646,Sirenia_(band),0
Orthopedic surgery,39126,Orthopedie,0
Scandium,40903,Scandium,0
Jafar Panahi,69560,Jafar_Panahi,0
Gua sha,22418,Guasha,0
Chronic obstructive pulmonary disease,94928,COPD,0
Social inequality,75711,Sociale_ongelijkheid,0
Pulse oximetry,41961,Perfusie-index,0
Staphylococcus epidermidis,29665,Staphylococcus_epidermidis,0
Multicellular organism,32602,Meercellig_organisme,0
Niobium(V) chloride,21608,Niobium(V)chloride,0
Semarang,65630,Semarang_(stad),0
Ocean current,76044,Zeestroom,0
Understanding,28417,Begrijpen,0
Serum sickness,23335,Serumziekte,0
Paralanguage,28924,Parataal,0
Embryonic stem cell,52092,Embryonale_stamcellen,0
Cobalt(II) oxide,23708,Kobalt(II)oxide,0
Glycyrrhizin,27644,Glycyrrizinezuur,0
African Americans,149103,Afro-Amerikanen,0
Coronary circulation,28635,Coronaire_bloedsomloop,0
Ostracism,40801,Ostracisme,0
Monophyly,21488,Monofyletische_groep,0
Johannes Oecolampadius,28346,Johannes_Oecolampadius,0
Grog,26227,Grog,0
Rumen,32658,Pens,0
Virilization,23163,Virilisatie,0
Riboflavin,46159,Riboflavine,0
Muhammad ibn Musa al-Khwarizmi,76450,Al-Chwarizmi,0
United States Department of Agriculture,66227,United_States_Department_of_Agriculture,0
Median sacral artery,19985,Arteria_sacralis_mediana,0
Lansoprazole,23408,Lansoprazol,0
Steviol glycoside,26803,Steviolglycoside,0
Abu Dawud al-Sijistani,25522,Abu_Dawud,0
Fungus,108865,Schimmels,0
Sodium metatitanate,17013,Natriummetatitanaat,0
Preventive healthcare,90777,Preventieve_gezondheidszorg,0
Adonis vernalis,18116,Voorjaarsadonis,0
Parole,40738,Voorwaardelijke_invrijheidstelling,0
Mysticism,124268,Mystiek,0
Speech,36751,Spraak,0
Ranunculaceae,36763,Ranonkelfamilie,0
List of Greek mythological figures,100982,Lijst_van_Griekse_goden,0
Chain reaction,27806,Kettingreactie,0
Somalia,157900,Somali%C3%AB,0
Muscle cell,39004,Spiercel,0
Antacid,23617,Antacida,0
Case–control study,27991,Pati%C3%ABnt-controleonderzoek,0
Taxidermy,38193,Taxidermie,0
Carnegie Mellon University,94918,Carnegie_Mellon_University,0
Protein secondary structure,30487,Secundaire_structuur_(eiwitten),0
Antifungal,28553,Antimycoticum,0
Arnaldus de Villa Nova,27866,Arnaldus_de_Villa_Nova,0
Mixed drink,18520,Mixdrankje,0
Hypernatremia,21398,Hypernatri%C3%ABmie,0
Partial function,27668,Parti%C3%ABle_functie,0
Xeroderma,16724,Droge_huid,0
Alessandro Volta,39133,Alessandro_Volta,0
Stroke,109412,Cerebrovasculair_accident,0
Model organism,47938,Modelorganisme,0
Book of Daniel,76022,Dani%C3%ABl_(boek),0
Femoral artery,24030,Dijslagader,0
Mourning,56865,Rouw,0
Medical tourism,62068,Medisch_toerisme,0
Sciacca,29165,Sciacca,0
Sine qua non,15611,Conditio_sine_qua_non,0
Triiodothyronine,30326,Tri-joodthyronine,0
Edward Teller,104657,Edward_Teller,0
Candidiasis,47150,Candidiasis,0
Vivisection,37208,Vivisectie,0
Anticonvulsant,36950,Anti-epileptica,0
Osteichthyes,39680,Beenvisachtigen,0
Pelvic examination,29994,Vaginaal_toucher,0
Zuclopenthixol,61554,Zuclopentixol,0
Connective tissue,24850,Bindweefsel,0
Natural resource,33812,Natuurlijke_hulpbron,0
Toothpaste,47457,Tandpasta,0
European Physical Journal A,11319,European_Physical_Journal_A,0
Foam cell,24089,Schuimcel,0
CT scan,75912,Computertomografie,0
Electron transport chain,42842,Elektronentransportketen,0
Darwin Awards,31674,Darwin_Award,0
Slivovitz,36067,Slivovitsj,0
Māori people,79707,Maori_(volk),0
Nortriptyline,77167,Nortriptyline,0
Nuclear pore,28563,Kernporie,0
Medical ultrasound,84215,Echografie,0
Heart transplantation,30948,Harttransplantatie,0
Immigration,99059,Immigratie,0
Anopheles gambiae,22040,Anopheles_gambiae,0
Cuirass,22362,Kuras,0
Vincristine,32510,Vincristine,0
Lead(II) bromide,19463,Lood(II)bromide,0
Ancient history,91459,Oudheid,0
Camillo Golgi,40040,Camillo_Golgi,0
University of Oxford,118629,Universiteit_van_Oxford,0
Salzburg,64455,Salzburg_(stad),0
Continuous positive airway pressure,25199,Continue_positieve_luchtwegdruk,0
Infrared,64464,Infrarood,0
Enzyme activator,16102,Activator_(biochemie),0
Chemical bond,47598,Chemische_binding,0
Shandy,25145,Shandy,0
Cardiac arrest,72957,Hartstilstand,0
Pebble-bed reactor,47431,Hogetemperatuurreactor,0
Babylonia,109761,Babyloni%C3%AB,0
Parenchyma,17223,Parenchym_(zo%C3%B6logie),0
Fondaparinux,24020,Fondaparinux,0
Daniel Dennett,72280,Daniel_Dennett,0
Thyroid,68748,Schildklier,0
Caregiver,51938,Mantelzorg,0
World War II,191314,Tweede_Wereldoorlog,0
Obstructed defecation,20222,Dyschezie,0
Lithium iodide,20978,Lithiumjodide,0
Nephron,35673,Nefron,0
Daniel Coit Gilman,30461,Daniel_Coit_Gilman,0
Boiling,25102,Koken_(verdamping),0
Cancer (disambiguation),11770,Cancer,0
Eukaryote,92503,Eukaryoten,0
University of Virginia,122360,Universiteit_van_Virginia,0
Cobalt(II) bromide,19162,Kobalt(II)bromide,0
Food play,16992,Voedselerotiek,0
Strongyloides stercoralis,30041,Strongyloides_stercoralis,0
Steam distillation,18560,Stoomdestillatie,0
Precancerous condition,21721,Premaligne,0
Politico,39763,Politico,0
Sensory neuron,31782,Sensorische_zenuwcel,0
Taoism,102079,Tao%C3%AFsme,0
Zirconium,45215,Zirkonium,0
Pharmacodynamics,28748,Farmacodynamiek,0
Nocturnal enuresis,43522,Enuresis_nocturna,0
Placebo,41680,Placebo_(middel),0
Andreas Mogensen,56390,Andreas_Mogensen,0
Propiverine,20606,Propiverine,0
Chloralose,29385,Alfachloralose,0
Symphytum,18184,Smeerwortel,0
Witherite,16018,Witheriet,0
Melamine,46844,Melamine,0
Nonparametric statistics,20781,Verdelingsvrije_statistiek,0
Emphysema,35283,Emfyseem,0
Hindu philosophy,85320,Hindoe%C3%AFstische_filosofie,0
Arctia flavia,13700,Arctia_flavia,0
Exosphere,21741,Exosfeer,0
John Herrington,61074,John_Herrington,0
Milk allergy,52207,Koemelkallergie,0
TNT equivalent,43188,TNT-equivalent,0
Paleolithic,79275,Paleolithicum,0
Maat,52071,Ma%C3%A4t,0
B vitamins,35426,Vitamine_B,0
Colon cleansing,31492,Darmspoeling,0
Polygyny,88244,Polygynie,0
Trichotillomania,38809,Trichotillomanie,0
Atkins diet,23199,Atkins-dieet,0
Stony Brook University,88239,Stony_Brookuniversiteit,0
CRC Handbook of Chemistry and Physics,16937,CRC_Handbook_of_Chemistry_and_Physics,0
Hirsutism,25294,Hirsutisme,0
Țuică,23274,%C8%9Auic%C4%83,0
Hybrid (biology),51659,Hybride_(biologie),0
Medical error,55037,Medische_fout,0
Meninges,26822,Hersenvliezen,0
Sodium bisulfite,22774,Natriumwaterstofsulfiet,0
Posterior pituitary,20758,Neurohypofyse,0
Aljaraque,28713,Aljaraque,0
D-dimer,24224,D-dimeer,0
Mains electricity,33796,Lichtnet,0
Tracheal tube,17416,Endotracheale_tube,0
The Mosquito,25132,De_Mosquito,0
Isoelectric point,23342,Iso-elektrisch_punt,0
Tantalum,47722,Tantaal,0
Sensitivity and specificity,46602,Sensitiviteit_en_specificiteit,0
Steve Biko,96277,Steve_Biko,0
Relative risk,27595,Relatief_risico,0
Ectoderm,25269,Ectoderm,0
Fibrinolysis,22355,Fibrinolyse,0
University of Giessen,29597,Universiteit_van_Gie%C3%9Fen,0
Angina,46933,Angina_pectoris,0
Bone,77569,Bot_(anatomie),0
Carotid artery stenosis,27856,Carotisstenose,0
Vertebra,42880,Wervel_(anatomie),0
Wilhelm Reich,124939,Wilhelm_Reich,0
Biophysics,34307,Biofysica,0
Peritoneum,28494,Buikvlies,0
Kumbh Mela,80684,Kumbh_Mela,0
Subcutaneous Implantable Defibrillator (S-ICD),23314,S-ICD,0
Radiation therapy,86033,Radiotherapie,0
Lateral geniculate nucleus,30349,Corpus_geniculatum_laterale,0
Common sense,91575,Gezond_verstand,0
Barber's pole,43893,Kapperspaal,0
Radiography,42946,R%C3%B6ntgenfoto,0
Brodie abscess,19031,Brodieabces,0
Lymphedema,47054,Lymfoedeem,0
Vasopressin,47406,Antidiuretisch_hormoon,0
Casimir Funk,18553,Casimir_Funk,0
Robert Fludd,42067,Robert_Fludd,0
Outer space,87900,Ruimte_(astronomie),0
Compassion,56451,Medelijden,0
Ireland,131974,Ierland_(eiland),0
Paper,60457,Papier,0
Spider,95440,Spinnen_(dieren),0
Lung,75983,Long_(orgaan),0
Choline,63897,Choline,0
Follicle (fruit),15340,Kokervrucht,0
Athenian democracy,84207,Atheense_democratie,0
Norishige Kanai,54214,Norishige_Kanai,0
Potassium nitrate,39143,Kaliumnitraat,0
Chemical substance,36539,Stof_(scheikunde),0
Common Era,41028,Gangbare_jaartelling,0
Shortness of breath,37489,Benauwdheid,0
Protein isoform,22325,Prote%C3%AFne-isovorm,0
Cardiac muscle,39263,Hartspier,0
Mallory body,15504,Mallorylichaampje,0
Sassafras,31093,Sassafras,0
Delian League,45325,Delische_Bond,0
Port wine,46837,Port_(wijn),0
Zopiclone,47619,Zopiclon,0
Aquarium,62559,Aquarium,0
Virus,102086,Virus_(biologie),0
Teseo Tesei,53972,Teseo_Tesei,0
Hippocras,17927,Hipocras,0
Clément Ader,21017,Cl%C3%A9ment_Ader,0
Dielectric elastomers,20490,Smart_material,0
Lemma (morphology),22637,Lemma_(naslagwerk),0
Polycystic liver disease,19710,Polycysteuze_leverziekte,0
Malnutrition,95718,Malnutritie,0
Contextualism,38406,Contextualisme_(filosofie),0
Urinary catheterization,24487,Blaaskatheterisatie,0
Cytochrome P450,50534,Cytochroom_P450,0
Wolff–Parkinson–White syndrome,36803,Syndroom_van_Wolff-Parkinson-White,0
Mitral valve,26151,Mitralisklep,0
Condom,81600,Condoom,0
Cyclooxygenase,31429,Cyclo-oxygenase,0
