laminopathy	laminopathie
langbeinite	langbeiniet
cough	hoest
bronchoscopy	bronchoscopie
virgil	vergilius
cyanamide	cyaanamide
otorhinolaryngology	otorinolaryngologie
history	geschiedenis
beryllium	beryllium
laryngospasm	laryngospasme
coccus	kokken
clostridia	clostridia
glufosinate	glufosinaat
electricity	elektriciteit
hydrosphere	hydrosfeer
progesterone	progesteron
tension 	rekspanning
occult	occultisme
atrium 	atrium 
l-selectride	l-selectride
lethargy	lethargie
kassites	kassieten
nocturia	nycturie
arrhythmia	hartritmestoornis
embolization	embolisatie
axilla	oksel
hemichordate	kraagdragers
anesthetic	anesthetica
syndactyly	syndactylie
levocetirizine	levocetirizine
prototype	prototype
massage	massage
ivabradine	ivabradine
gallium	gallium
plantaginaceae	weegbreefamilie
cofactor 	cofactor 
dmoz	dmoz
mexico	mexico 
soybean	sojaboon
antipsychotic	antipsychotica
thiamphenicol	thiamfenicol
paracoccidioidomycosis	paracoccidioidomycosis
spleen	milt
dendrite	dendriet 
polymorphism 	polymorf 
otosclerosis	otosclerose
meitnerium	meitnerium
heart	hart
acupuncture	acupunctuur
wavelength	golflengte
tax	belasting 
tajikistan	tadzjikistan
wade–giles	wade-giles
aldicarb	aldicarb
amsterdam	amsterdam
toxicity	giftigheid
insomnia	slapeloosheid
dam	dam 
euphoria	euforie
fascia	fascie 
quetiapine	quetiapine
sensu	sensu
tap 	kraan 
paralysis	verlamming
irbesartan	irbesartan
monocyte	monocyt
proligestone	proligeston
mastocytosis	mastocytose
quinapril	quinapril
sambucus	vlier 
sirenia 	sirenia 
pons	pons 
port	haven
humectant	bevochtigingsmiddel
burn	brandwond
integrin	integrine
thyroid	schildklier
coagulation	bloedstolling
influenza	griep
chalcis	chalkis 
vertex 	vertex 
phragmoplast	fragmoplast
blastocyst	blastocyste
germline	kiembaan
ethinylestradiol	ethinylestradiol
herb	kruid 
stoichiometry	stoichiometrie
borneol	borneol
immunotherapy	immunotherapie
korn 	kornbrand
genealogy	genealogie 
angiogenesis	angiogenese
alkali	alkali
compassion	medelijden
nutrien	nutrien
orlistat	orlistat
perception	waarneming 
trachea	luchtpijp
necrosis	necrose
tyrtaeus	tyrtaeus
nihilism	nihilisme 
comet	komeet
miscarriage	miskraam
clotiazepam	clotiazepam
fetus	foetus
dysprosium	dysprosium
semi-vegetarianism	semi-vegetarisme
placenta	placenta
dubnium	dubnium
paruresis	paruresis
deuterostome	deuterostomia
rhodamine	rhodamine
tibia	scheenbeen
leukoplakia	leukoplakie
khaqani	khaqani
dermatomyositis	dermatomyositis
ventricle 	ventrikel 
transistor	transistor
anesthetic	anesthetica
vertebra	wervel 
diacetylene	diacetyleen
nutrient	voedingsstof
anagrelide	anagrelide
psychoacoustics	psychoakoestiek
phenotype	fenotype
coxsackievirus	coxsackievirus
rimonabant	rimonabant
genus	geslacht 
anosmia	anosmie
rash	huiduitslag
kiel	kiel 
zester	zesteur
fetus	foetus
hybrid 	hybride 
neoplasm	neoplasie
endocarditis	endocarditis
actinomyces	actinomycetes
medication	geneesmiddel
2,4-dinitrophenylhydrazine	2,4-dinitrofenylhydrazine
ligature 	ligatuur 
monograph	monografie
tranquilizer	tranquillizer
brexit	brexit
allotransplantation	allotransplantatie
rifampicin	rifampicine
kelvin	kelvin 
aorta	aorta
infrasound	infrageluid
fenugreek	fenegriek
substrate 	substraat 
loperamide	loperamide
endogeny 	endogeen 
parosmia	parosmie
graphite	grafiet
cumberland	cumberland 
leflunomide	leflunomide
intron	intron
probability	kans 
porpoise	bruinvissen
naproxen	naproxen
wildlife	wildlife 
vitallium	vitallium
enna	enna 
sense 	sense 
cognition	cognitie
methylenedioxypyrovalerone	methyleendioxypyrovaleron
paper	papier
orexin	orexine
thiamine	thiamine
chlormethine	chloormethine
hepatitis	leverontsteking
țuică	țuică
jurist	jurist
liquorice	zoethout
experiment	experiment
metalloproteinase	metalloprotease
brewing	bierbrouwen
hadith	hadith
compliance 	compliantie
asclepius	asklepios
17α-hydroxyprogesterone	17-oh-progesteron
gallup 	gallup 
clotrimazole	clotrimazol
rosicrucianism	rozenkruisers
jāti	jati 
hirsutism	hirsutisme
cafestol	cafestol
vermiculite	vermiculiet
polymer	polymeer
pneumothorax	pneumothorax
rubella	rodehond
avicenna	avicenna
phencyclidine	fencyclidine
transferase	transferase
colombia	colombia
aorta	aorta
bronchitis	bronchitis
hydrochlorothiazide	hydrochloorthiazide
anemone	anemoon
system	systeem 
butane	butaan
disease	ziekte
myosin	myosine
ramakrishna	ramakrishna
writing	schrijven
volt	volt 
osteoblast	osteoblast
panchatantra	pañcatantra
phenylalanine	fenylalanine
vasoconstriction	vasoconstrictie
pharmacodynamics	farmacodynamiek
prosthesis	prothese
erythrite	erytriet
polyyne	polyyn
orphanet	orphanet
rubidium	rubidium
boiling	koken 
shame	schaamte
arabs	arabieren
betahistine	bètahistine
phronesis	phronèsis
hyperglycemia	hyperglykemie
cannabinoid	cannabinoïde
mammal	zoogdieren
palpitations	hartklopping
lotion	lotion
venipuncture	venapunctie
bilirubin	bilirubine
optometry	optometrie
saturn 	saturnus 
actin	actine
graffiti	graffiti
xenon	xenon
gal 	gal 
blue	blauw 
stretching	stretching
vasodilation	vasodilatatie
hives	netelroos
inharmonicity	inharmoniciteit
ranitidine	ranitidine
beerse	beerse
fraud	fraude
chandra	soma 
transoxiana	transoxanië
mimesis	mimesis
aristolochia	aristolochia
purine	purine
psychopathology	psychopathologie
nocturia	nycturie
dexter 	dexter 
pescetarianism	pescotarisme
ageing	veroudering 
christchurch	christchurch 
pregabalin	pregabaline
lipedema	lipoedeem
heart	hart
ivabradine	ivabradine
anglesite	anglesiet
science	wetenschap
therapy	therapie
sozopol	sozopol
autophagy	autofagie 
elastase	elastase
heracles	herakles 
agonist	agonist 
zopiclone	zopiclon
fomite	fomiet
actuary	actuaris
bleeding	bloeding
poliovirus	poliovirus
lithium 	lithiumtherapie
rosicrucianism	rozenkruisers
digitalis	vingerhoedskruid 
phenol	fenol
physiology	fysiologie
moth	nachtvlinder 
paprika	paprikapoeder
hookah	waterpijp
sewage	afvalwater
atrium 	atrium 
rutherfordium	rutherfordium
actinomycosis	actinomycose
yakitori	yakitori
freedom	vrijheid 
kir2.1	kir2.1
crystallinity	kristalliniteit
armenia	armenië
trance	trance 
cetacea	walvisachtigen
hour	uur
cachexia	cachexie
labetalol	labetalol
sting 	sting 
herbicide	herbicide
yemen	jemen
arrhythmia	hartritmestoornis
electronegativity	elektronegativiteit
underdrawing	ondertekening
psoriasis	psoriasis
necrophilia	necrofilie
pharmacy	farmacie
latanoprost	latanoprost
jordan	jordanië
ethylene	etheen
ischemia	ischemie
australia	australië 
alkylation	alkylering
4-fluoroamphetamine	4-fa
sarcoidosis	sarcoïdose
heidelberg	heidelberg 
capillary	haarvat
mississippi	mississippi 
lymph	lymfe
lymphangitis	lymfangitis
microsoft	microsoft
nail 	nagel 
homelessness	dakloosheid
melasma	melasma
flow 	flow 
landscape	landschap
aneurysm	aneurysma
lymph	lymfe
itihasa	itihasa
nitrox	nitrox
symphytum	smeerwortel
glycosuria	glucosurie
ultraviolet	ultraviolet
supersymmetry	supersymmetrie
stromboli	stromboli 
cysteine	cysteïne
ankara	ankara
serca	serca
scalpel	scalpel
euphoria	euforie
carprofen	carprofen
aquanaut	aquanaut 
concentration	concentratie 
rajasthan	rajasthan
melasma	melasma
brine	pekel
methanethiol	methaanthiol
ranunculaceae	ranonkelfamilie
skin	huid
dihydroxyacetone	dihydroxyaceton
foreskin	voorhuid
humorism	humores
litre	liter
electrophile	elektrofiel
anagrelide	anagrelide
dubnium	dubnium
infrared	infrarood
tendon	pees 
babylonia	babylonië
hyperpigmentation	hyperpigmentatie
acupuncture	acupunctuur
rakı	raki
flexibility 	flexibiliteit
fibrosis	fibrose
edema	oedeem
fatigue	fatigue
belief	geloof
fibrinolysis	fibrinolyse
heparin	heparine
ammonium	ammonium
haloalkane	halogeenalkaan
moksha	moksha
condom	condoom
aquifer	aquifer
lung	long 
philanthropy	filantropie
opiate	opiaten
mucus	slijm
agonist	agonist 
ozone	ozon 
citrus	citrus 
mutation	mutatie 
teetotalism	geheelonthouding
crusades	kruistocht
biochemistry	biochemie
cytokine	cytokine
1,10-phenanthroline	1,10-fenantroline
carbohydrate	koolhydraat
elemental	elementaal
drambuie	drambuie
quinoline	chinoline
eswatini	swaziland
thrombolysis	trombolyse
macedonia 	macedonië 
arak 	arak 
lemma 	lemma 
hunger	honger
myelin	myeline
dysplasia	dysplasie
secretion	secretie
fungus	schimmels
hafiz 	hafiz 
tocofersolan	tocofersolan
photodermatitis	fotocontactallergie
metaphysics	metafysica
peru	peru
inquest	lijkschouw
artery	slagader
bureaucracy	bureaucratie
oricum	oricum
palmitoylethanolamide	palmitoylethanolamide
cat	kat 
pyelogram	pyelogram
ester	ester 
dysentery	dysenterie
cholecystokinin	cholecystokinine
zirconium	zirkonium
pneumonectomy	pneumectomie
medication	geneesmiddel
benzodiazepine	benzodiazepine
cathine	cathine
carteolol	carteolol
transudate	transsudaat
promyelocyte	promyelocyt
granuloma	granuloom
cuirass	kuras
psychedelia	psychedelisch
incidence 	incidentie
syncope 	syncope 
histone	histon 
phosphatidylcholine	fosfatidylcholine
buprenorphine	buprenorfine
imidazole	imidazool
mometasone	mometasonfuroaat
immigration	immigratie
enterococcus	enterococcus
gasket	afdichting
muridae	muridae
emir	emir
amygdalin	amygdaline
ultrasound	ultrageluid
denmark	denemarken
rofecoxib	rofecoxib
glimepiride	glimepiride
acrolein	acroleïne
trimethoxyamphetamine	trimethoxyamfetamine
ostracism	ostracisme
cytochrome	cytochroom
krishna	krishna 
levee	dijk 
anhedonia	anhedonie
cestoda	lintwormen
hydrostatics	hydrostatica
arrhythmia	hartritmestoornis
aflibercept	aflibercept
rheology	reologie
endocardium	endocard
electrocardiography	elektrocardiogram
furosemide	furosemide
isomerase	isomerase
infection	infectie
mirtazapine	mirtazapine
ligand	ligand
electronvolt	elektronvolt
skull	schedel
heuristic	heuristiek
empiricism	empirisme
neurotransmitter	neurotransmitters
oklahoma	oklahoma
x-ray	röntgenstraling
fentanyl	fentanyl
aspergilloma	aspergilloom
infection	infectie
boulangerite	boulangeriet
pretzel	pretzel
pharmacist	apotheker
polytetrafluoroethylene	teflon
asthma	astma
carcinoma	carcinoom
newsweek	newsweek
methylone	methylone
disease	ziekte
mourning	rouw
confederation	confederatie
anthropology	antropologie
dressing 	verband 
genecards	genecards
thebaine	thebaïne
ophthalmology	oogheelkunde
ventricle 	ventrikel 
naples	napels 
eosin	eosine
entacapone	entacapone
thymine	thymine
koinon	koinon
bust 	buste 
damascus	damascus
circulation 	circulation
anticoagulant	anticoagulantia
heracleum 	berenklauw 
epiglottis	strotklepje
denotation	denotatie
virus	virus 
nicotiana	nicotiana
icd-10	icd-10
carbon	koolstof
memantine	memantine
orange 	oranje 
bichir	kwastsnoeken
census	volkstelling
daratumumab	daratumumab
hermetica	hermetica
mining	mijnbouw
tapentadol	tapentadol
cytomegalovirus	cytomegalovirus
lisinopril	lisinopril
niacin	nicotinezuur
tonsil	keelamandel
caesium	cesium
glycoside	glycoside
microtome	microtoom
infestation	infestatie
germanium	germanium
antiemetic	anti-emetica
mole 	mol 
dehydration	dehydratie 
individualism	individualisme
alcohol 	alcohol 
pharyngitis	keelontsteking
range 	spreidingsbreedte
medlineplus	medlineplus
conotoxin	conotoxine
heart	hart
geographer	geograaf
palonosetron	palonosetron
solvent	oplosmiddel
screwdriver 	screwdriver
toothbrush	tandenborstel
epidemic	epidemie
virotherapy	virotherapie
kirsch	kirsch
cancer 	cancer
latvia	letland
multivitamin	multivitamine
injury	verwonding
pyrimidine	pyrimidine
ischemia	ischemie
disease	ziekte
saudade	saudade
asystole	asystolie
soma 	perikaryon
cholesterol	cholesterol
neuromodulation	neuromodulatie
regret	spijt
dementia	dementie
prokaryote	prokaryoten
drink	drank
lungfish	longvissen
arteriosclerosis	arteriosclerose
vincristine	vincristine
bouncer	uitsmijter 
jenever	jenever
fibronectin	fibronectine
pediatrics	pediatrie
antioxidant	antioxidant
haloalkane	halogeenalkaan
syndrome	syndroom 
trisomy	trisomie
aducanumab	aducanumab
hiv/aids	aids
burping	boer 
tablet 	tablet
cholinesterase	cholinesterase
sulfanilamide	sulfapreparaat
mathworld	mathworld
lens	lens 
whisky	whisky
interpol	interpol
bar-back	barback
genotype	genotype
serology	serologie
shakti	shakti
wetherspoons	wetherspoon
vertebra	wervel 
calculator	rekenmachine
rigveda	rigveda
medicine	geneeskunde
family	familie 
streptococcus	streptokokken
pasteurization	pasteuriseren
meta-analysis	meta-analyse
website	website
snake	slangen
anatomy	anatomie
docetaxel	docetaxel
bed	bed
sugammadex	sugammadex
neidan	neidan
asthma	astma
metamorphoses	metamorfosen 
mouthwash	mondwater
poison	vergif
triiodothyronine	tri-joodthyronine
bone	bot 
lipolysis	lipolyse
antiseptic	antisepticum
colonialism	kolonialisme
epistemology	kennistheorie
cell 	cel 
bioinformatics	bio-informatica
curare	curare
stegosaurus	stegosaurus
leaf	blad
natalizumab	natalizumab
pyrazolidine	pyrazolidine
pregnancy	zwangerschap
endothelium	endotheel
tannin	tannine
sparta	sparta 
rheumatology	reumatologie
defibrillation	defibrillatie
osteichthyes	beenvisachtigen
histology	histologie
neutropenia	neutropenie
trogir	trogir
blepharospasm	blefarospasme
world	wereld 
lesion	laesie
astrocyte	astrocyt
dermatology	dermatologie
hematemesis	bloedbraken
hypnopompic	hypnopompie
aquaporin	aquaporine
laughter	lachen 
transcriptome	transcriptoom
methamphetamine	methamfetamine
electrocardiography	elektrocardiogram
creatinine	creatinine
tide	getijde 
basidiomycota	basidiomyceten
purpura	purpura 
sydney	sydney
panchatantra	pañcatantra
sumer	sumer
gochujang	gochujang
antacid	antacida
anakinra	anakinra
electronegativity	elektronegativiteit
mathematics	wiskunde
cyst	cyste
flowchart	stroomdiagram
biopharmaceutical	biological
concentration	concentratie 
coagulation	bloedstolling
hallucinogen	hallucinogeen
tarragon	dragon 
mumbai	bombay
serine	serine
vivisection	vivisectie
bronchiectasis	bronchiëctasieën
urbanization	verstedelijking
stress 	stress
acid	zuur 
brittany	bretagne 
mefloquine	mefloquine
hafnium	hafnium
predation	predatie
dynorphin	dynorfine
benzodiazepine	benzodiazepine
hydroxylation	hydroxylering
patient	patiënt
clostridium	clostridium
fire 	vuur 
radon	radon 
muti	muti 
ventricle 	ventrikel 
vulva	vulva
edema	oedeem
transcription 	transcriptie 
tincture	tinctuur 
lung	long 
sputum	sputum
cystography	cystografie
burping	boer 
cd14	cd14
pharynx	farynx
human	mens
medlineplus	medlineplus
syndrome	syndroom 
sicily	sicilië
skull	schedel
angiography	angiografie
whisky	whisky
naloxone	naloxon
cinnamon	kaneel
haecceity	haecceitas
flatworm	platwormen
vanilla	vanille
flooding 	flooding 
affix	affix
haloperidol	haloperidol
verapamil	verapamil
pandemic	pandemie
piperidine	piperidine
titin	titine
exercise	lichaamsbeweging
psychoanalysis	psychoanalyse
tilidine	tilidine
temperament	temperament
epididymitis	epididymo-orchitis
bmpr2	bmpr2
galactosemia	galactosemie
ammonia	ammoniak
zolpidem	zolpidem
erythrasma	erythrasma
autopsy	autopsie
atheroma	plaque 
shark	haaien
hippeis	hippeis
fluid	fluïdum
filicudi	filicudi
ebolavirus	ebolavirus
supercompensation	supercompensatie
asphyxia	verstikking
oxford	oxford 
audition	auditie
obesity	obesitas
athlete	sporter
seawater	zeewater
schizophrenia	schizofrenie
geometry	meetkunde
manganese	mangaan
methylphenidate	methylfenidaat
mediastinum	mediastinum
apoptosis	apoptose
ginsenoside	ginsenoside
vedas	veda's
lesion	laesie
adenoviridae	adenovirussen
glucagonoma	glucagonoom
digoxin	digoxine
vitalism	vitalisme 
tungsten	wolfraam
mesopotamia	mesopotamië
fatigue	fatigue
polycythemia	polycythemie
flea	vlooien
delphinium	ridderspoor 
erasistratus	erasistratos
al-nasa'i	al-nasa'i
ouabain	ouabaïne
viviparity	viviparie
critolaus	kritolaos
hellebore	nieskruid
ectoderm	ectoderm
clomifene	clomifeen
charité	charité 
tularemia	tularemie
spirometry	spirometrie
elisa	elisa
liquid	vloeistof
peppermint	pepermunt 
cyprus	cyprus
conservatorship	curatele 
lipid	lipide
hypochondriasis	hypochondrie
edema	oedeem
dietitian	diëtist
biopharmaceutical	biological
flora 	flora 
latex	latex
nuremberg	neurenberg
rutherford 	rutherford 
emphysema	emfyseem
megara	megara 
thioacetamide	thioaceetamide
mood 	gemoedstoestand
syrup	stroop
trout	forel 
plastid	plastide
caregiver	mantelzorg
abatacept	abatacept
pyrolysis	pyrolyse
twin	tweeling 
medicalization	medicalisatie
contextualism	contextualisme 
citrus	citrus 
nicotine	nicotine
mdma	mdma
monomethylhydrazine	methylhydrazine
dominance 	dominant 
acrylamide	acrylamide
spectrometer	spectrometer
politico	politico
plasmid	plasmide
exercise	lichaamsbeweging
deficiency 	deficiëntie 
tyramine	tyramine
gossypol	gossypol
anesthesiology	anesthesiologie
kyphoscoliosis	kyfoscoliose
eukaryote	eukaryoten
hydrophobe	hydrofoob
cobalt-60	kobalt-60
lung	long 
botulism	botulisme
ketene	keteen
methamphetamine	methamfetamine
gastroenteritis	buikgriep
sucrose	sacharose
malnutrition	malnutritie
jiangxi	jiangxi
glycoside	glycoside
substrate 	substraat 
kilogram	kilogram
cofactor 	cofactor 
serositis	serositis
edema	oedeem
gasoline	benzine
ephesus	efeze
verbena	verbena
antifungal	antimycoticum
orgasm	orgasme
melbourne	melbourne
pulse	polsslag
nursing	verpleegkunde
neoplatonism	neoplatonisme
neurosis	neurose
hyperthyroidism	thyreotoxicose
fatigue	fatigue
promiscuity	promiscuïteit
insulinoma	insulinoom
pregabalin	pregabaline
amnesia	geheugenverlies
asparagine	asparagine
inflammation	ontsteking 
acrocyanosis	acrocyanose
coronavirus	coronavirussen
methadone	methadon
alchemy	alchemie
electronvolt	elektronvolt
arrhythmia	hartritmestoornis
shaucha	shaucha
pear	peer 
triclosan	triclosan
anthelmintic	anthelminthica
piperine	piperine
stomach	maag
pulmonology	pulmonologie
quercetin	quercetine
consciousness	bewustzijn
calcitonin	calcitonine
swimming 	zwemsport
compassion	medelijden
ventilator	beademingsapparaat
neoplasm	neoplasie
kava	kava 
hedonism	hedonisme
alicudi	alicudi
trichloroethylene	trichlooretheen
naturalism 	naturalisme 
vertebra	wervel 
empúries	empúries
mollusca	weekdieren
1,1,1-trichloroethane	1,1,1-trichloorethaan
gastroparesis	gastroparese
gynecomastia	gynaecomastie
paleolithic	paleolithicum
theophylline	theofylline
candida 	candida 
botany	plantkunde
pneumothorax	pneumothorax
durga	durga
chrysopoeia	chrysopoeia
gilbert 	gilbert 
lyceum 	lykeion
nephritis	nefritis
taxidermy	taxidermie
nitrox	nitrox
almond	amandelboom
cauterization	cauterisatie
phalanx	falanx
advocaat	advocaat 
scrapie	scrapie
infliximab	infliximab
kilogram	kilogram
paracetamol	paracetamol
enzyme	enzym
frequency	frequentie
facsimile	facsimile
cardioversion	cardioversie
histology	histologie
radiography	röntgenfoto
reinforcement	bekrachtiging
statistic	steekproeffunctie
rheumatism	reuma
europium	europium
poultry	pluimvee
yajna	yajna
dahae	dahae
porphyria	porfyrie
amnion	amnion
lamotrigine	lamotrigine
vasodilation	vasodilatatie
spleen	milt
ivacaftor	ivacaftor
angiotensin	angiotensine
adhesive	lijm
saffron	saffraan
parent	ouder
lactitol	lactitol
lawrencium	lawrencium
micrometre	micrometer 
infection	infectie
salt	keukenzout
erythromycin	erytromycine
glycoside	glycoside
dermis	dermis
india	india
heart	hart
berylliosis	berylliose
osteochondrosis	osteochondrose
hypnosis	hypnose
zmapp	zmapp
puranas	purana's
tamsulosin	tamsulosine
mesna	mesna
thrombin	trombine
mathematician	wiskundige
nephron	nefron
chinois	chinois 
c-peptide	c-peptide
carboxyhemoglobin	carboxyhemoglobine
bronchitis	bronchitis
virus	virus 
prayer	gebed
yunnan	yunnan
echocardiography	echocardiografie
myosin	myosine
p 	p 
magnetometer	magnetometer
chrysolina	chrysolina
petal	kroonblad
dissociation 	dissociatie 
bupropion	bupropion
centrosome	centrosoom
cyclophosphamide	cyclofosfamide
bee	bijen
saccharomyces	saccharomyces
ap1000	ap1000-reactor
verapamil	verapamil
eurobarometer	eurobarometer
photogram	fotogram
gametogenesis	gametogenese
trichophagia	trichofagie
psilocin	psilocine
coccidioidomycosis	coccidioidomycose
anemia	bloedarmoede
tentacle	tentakel
polygyny	polygynie
orchitis	orchitis
endocardium	endocard
aztecs	azteken
hepatocyte	hepatocyt
hypokalemia	hypokaliëmie
levetiracetam	levetiracetam
calcification	calcificatie
darmstadtium	darmstadtium
steroid	steroïde
zuclopenthixol	zuclopentixol
biophysics	biofysica
zeolite	zeoliet
alkaloid	alkaloïde
syngnathidae	syngnathidae
anemia	bloedarmoede
warthog	phacochoerus
proteinuria	proteïnurie
liraglutide	liraglutide
seizure	insult
physics 	fysica 
orthopnea	orthopneu
cirrhosis	cirrose
rad 	rad 
perspiration	zweten
christians	christen
microfilament	microfilament
permian	perm 
heredity	erfelijkheid
sodium	natrium
pus	pus
alcoholism	alcoholisme
burn	brandwond
ventricle 	ventrikel 
hospice	hospice
saraswati	sarasvati 
seizure	insult
indigestion	dyspepsie
sinusitis	bijholteontsteking
copper	koper 
ouroboros	ouroboros
taste	smaakzin
infarction	infarct
electronvolt	elektronvolt
rama	rama
melioidosis	melioidose
buoyancy	drijfkracht
ciclosporin	ciclosporine
digoxin	digoxine
bradycardia	bradycardie
tantalum	tantaal
optometry	optometrie
loganiaceae	loganiaceae
medicine	geneeskunde
calorie	calorie
epidemiology	epidemiologie
athetosis	athetose
lecithin	lecithine
sprint 	sprint 
violet 	violet
brca1	brca1
scotland	schotland
alkali	alkali
subspecies	ondersoort
edema	oedeem
technology	technologie
terbinafine	terbinafine
methylphenidate	methylfenidaat
questionnaire	vragenlijst
korčula	korčula 
malathion	malathion
paint	verf
vis 	vis 
fibrosis	fibrose
agomelatine	agomelatine
apitherapy	apitherapie
cryonics	cryonisme
fibroblast	fibroblast
aristotle	aristoteles
icd-10	icd-10
lung	long 
bleeding	bloeding
phosphorescence	fosforescentie
baclofen	baclofen
alcoholism	alcoholisme
capillary	haarvat
bacteria	bacteriën
bulgaria	bulgarije
rhodes	rhodos 
zoonosis	zoönose
sita	sita 
hyperthyroidism	thyreotoxicose
sacrum	heiligbeen
hydralazine	hydralazine
fine 	boete
azhdarchoidea	azhdarchoidea
panthenol	panthenol
anaximander	anaximander
mashing	maischen
streptococcus	streptokokken
docusate	natriumdioctylsulfosuccinaat
oxalate	oxalaat
ustekinumab	ustekinumab
beer	bier
malnutrition	malnutritie
glycosuria	glucosurie
chelation	chelatie
kinase	kinase
sake	sake
mutation	mutatie 
methylcobalamin	methylcobalamine
mometasone	mometasonfuroaat
mamba	mamba's
valproate	valproïnezuur
deuterium	deuterium
hyponatremia	hyponatriëmie
arthralgia	artralgie
pinworm 	aarsmade
lysosome	lysosoom
flumazenil	flumazenil
physicalism	fysicalisme
benzophenone	benzofenon
śruti	shruti
golf	golf 
inflammation	ontsteking 
taoism	taoïsme
symporter	symporter
lutetium	lutetium
concrete	beton
benin	benin
paracelsus	paracelsus
fibroma	fibroom
hyperventilation	hyperventilatie
mptp	mptp
palpation	palpatie
vegetotherapy	vegetotherapie
behaviorism	behaviorisme
neoplasm	neoplasie
sesquioxide	sesquioxide
defibrillation	defibrillatie
vein	ader 
aspergillosis	aspergillose
tulsidas	tulsidas
menopause	menopauze
diatom	diatomeeën
zuclopenthixol	zuclopentixol
pimozide	pimozide
tomography	tomografie
lahore	lahore
julienning	julienne 
pericardium	pericard
biomechanics	biomechanica
yajurveda	yajoerveda
lysis	lyse
nerve	zenuw
macrocephaly	macrocefalie
emtricitabine	emtricitabine
2c-i	2c-i
cannula	canule 
systole	systole 
prevalence	prevalentie
valence 	valentie 
teratoma	teratoom
civitas	civitas
celery	selderij
cannula	canule 
synapse	synaps
polysomnography	polysomnografie
