osteoporose	ostéoporose
triacylglycerol	triglycéride
tyramine	tyramine
pericard	péricarde
mdma	mdma
wiskunde	mathématiques
glycosaminoglycaan	glycosaminoglycane
blastocyste	blastocyste
prevalentie	prévalence
yakitori	yakitori
long_	poumon
gewervelden	vertébrés
infestatie	infestation 
tweeling_	jumeau
cochrane_	cochrane 
medicare	medicare
lansoprazol	lansoprazole
erfelijkheid	hérédité
vergif	poison
capecitabine	capécitabine
efeze	éphèse
parmenides	parménide
zoogdieren	mammifère
knaagdieren	rodentia
psychoactief_middel	psychotrope
cocaïne	cocaïne
bagdad	bagdad
coagulase	coagulase
haloperidol	halopéridol
otorinolaryngologie	otorhinolaryngologie
mylan	mylan
fomiet	fomite
holi-phagwa	holi
spironolacton	spironolactone
artemis_	artémis
thioaceetamide	thioacétamide
sydney	sydney
supersonische_snelheid	supersonique
scalpel	bistouri
carbapenem	carbapénème
proctologie	proctologie
homeostase_	homéostasie
druppel	goutte 
vermagering	amaigrissement
aripiprazol	aripiprazole
staalpillen	fer 
cel_	cellule 
jupiter_	jupiter 
thiamfenicol	thiamphénicol
corticotropin-releasing_hormone	corticolibérine
dyspepsie	dyspepsie
hypocalciëmie	hypocalcémie
chemotherapie	chimiothérapie
elektroforese	électrophorèse
interpol	interpol
itraconazol	itraconazole
ongewervelden	invertébré
grote_hersenen	télencéphale
plantkunde	botanique
dominant_	dominance 
loganiaceae	loganiaceae
martelaar	martyr
stoornis_van_de_lichaamsbeleving	dysmorphophobie
elea	élée
parenchym_	parenchyme
elektrocardiogram	électrocardiographie
algoritme	algorithme
aymara_	aymaras
middenplatonisme	moyen-platonisme
levensmiddel	nourriture
granuloom	granulome
hydralazine	hydralazine
systole_	systole
hirudine	hirudine
carcinogeen	cancérogène
janssen_pharmaceutica	janssen 
pediatrie	pédiatrie
antiserum	sérothérapie
neushoorns	rhinocéros
terugkoppeling	rétroaction
irrigatie	irrigation
cryonisme	cryonie
nucleotide	nucléotide
milt	rate
sagunto	sagonte
poppers	poppers
oor	oreille
elf_	elfe
baarmoeder	utérus
vivisectie	vivisection
eukaryoten	eukaryota
mediastinum	médiastin
carbamazepine	carbamazépine
veroudering_	vieillissement
petaliet	pétalite
kobalt	cobalt
slagader	artère
osteochondrose	ostéochondrite
amblygoniet	amblygonite
hepatomegalie	hépatomégalie
barotrauma	barotraumatisme
bradycardie	bradycardie
transferase	transférase
jackson_	jackson 
hospice	hospice
antidiuretisch_hormoon	vasopressine
kemi	kemi
brazilië	brésil
herakles_	héraclès
rationalisme	rationalisme
docetaxel	docétaxel
natrium	sodium
stretching	étirement
cypermetrine	cyperméthrine
antivirale_middelen	antiviral
elektronvolt	électronvolt
franse_poedel	caniche
ouabaïne	ouabaïne
firmicutes	firmicutes
atheromatose	athérosclérose
syndroom_	syndrome
ligand	ligand 
hiv-remmers	antirétroviral
rekenmachine	calculatrice
aquifer	aquifère
triatoma_infestans	vinchuca
parathormoon	parathormone
farynx	pharynx
erytropoëtine	érythropoïétine
cauterisatie	cautérisation
liter	litre
pekel	saumure
sumer	sumer
receptor_	récepteur 
monocyt	monocyte
eurobarometer	eurobaromètre
piercing	piercing
antacida	antiacide
pedanius_dioscorides	dioscoride
desmosoom	desmosome
giftigheid	toxicité
metalloprotease	métalloprotéinase
hypovolemie	hypovolémie
stegosaurus	stegosaurus
anthelminthica	anthelminthique
zuur_	acide
waterpijp	narguilé
bijen	abeille
magna_graecia	grande-grèce
antimycoticum	antimycosique
lichaamsbeweging	fitness
cholesterol	cholestérol
alkali	alcali
chloorpromazine	chlorpromazine
fluorescentie	fluorescence
agonist_	agoniste 
gedrag	comportement
ataxie	ataxie
triclosan	triclosan
mirtazapine	mirtazapine
ontziltingsinstallatie	dessalement
yohimbine	yohimbine
splenomegalie	splénomégalie
urologie	urologie
routledge_	routledge
slokdarm	œsophage
wild	gibier
linuron	linuron
ischemie	ischémie
koeltechniek	réfrigération
fibrose	fibrose
vasodilatatie	vasodilatateur
hemodynamiek	hémodynamique
cryoglobulinemie	cryoglobulinémie
glycolnitril	glycolonitrile
vitruvius_	vitruve
oligomenorroe	oligoménorrhée
infectie	infection
rimonabant	rimonabant
oviparie	oviparité
tachycardie	tachycardie
reptielen	reptile
piroxicam	piroxicam
koinon	koinon
vasoconstrictie	vasoconstriction
acetylgroep	acétyle
lood_	plomb
fosforylering	phosphorylation
neurohypofyse	neurohypophyse
bewustzijn	conscience
timolol	timolol
francium	francium
oedeem	œdème
koolhydraat	glucide
rickettsia	rickettsia
reflex_	réflexe
buikgriep	gastro-entérite
aldolreactie	aldolisation
dexter_	dexter 
zwangerschap	grossesse
zweten	sueur
rifampicine	rifampicine
geheugen_	mémoire 
hand	main
roehampton	roehampton
syncope_	syncope 
determinisme_	déterminisme
choline	choline
ringwormen	annelida
kleine_hersenen	cervelet
therapie	traitement 
glucosurie	glycosurie
boor_	foret
ultrageluid	ultrason
afrodisiacum	aphrodisiaque
sparta_	sparte
pneumectomie	pneumonectomie
kanker	cancer
pees_	tendon
haaruitval	alopécie
comorbiditeit	comorbidité
steekproeffunctie	statistique 
stollingsstoornis	coagulopathie
optometrie	optométrie
wildstroperij	braconnage
lymfoedeem	lymphœdème
middenrif	diaphragme 
fosfaat	phosphate
demografie	démographie
lipofiel	lipophilie
transsudaat	transsudat
borstbeen	sternum
shaivisme	shivaïsme
flumazenil	flumazénil
meesterwerk	chef-d'œuvre
cumberland_	cumberland 
hoechst	hoechst
alchemie	alchimie
vingerhoedskruid_	digitale
fase_	phase 
saté	sate
thyreoïdstimulerend_hormoon	thyréostimuline
sensitisatie	potentialisation
scheurbuik	scorbut
vingerkootje	phalange 
gametogenese	gamétogenèse
autobiografie	autobiographie
cardiomyopathie	cardiomyopathie
tamsulosine	tamsulosine
co-evolutie	coévolution
allotropie	allotropie
mystiek	mystique
cyanose	cyanose
actuaris	actuaire
kelvin_	kelvin
nicotine	nicotine
antioxidant	antioxydant
malaria	paludisme
patiënt	patient
tamarinde	tamarinier
statine	statine
togo	togo
hirsutisme	hirsutisme
verf	peinture 
houtsnede	xylographie
intentie	intention
waterpokken	varicelle
fatigue	fatigue 
nisa_	nisa 
naproxen	naproxène
prednison	prednisone
emtricitabine	emtricitabine
sugiliet	sugilite
salzburg_	salzbourg
ruimte_	espace 
mimesis	mimèsis
hydroxyproline	hydroxyproline
glycoside	hétéroside
polymeer	polymère
gedragstherapie	béhaviorisme
rigveda	rig-véda
syfilis	syphilis
diëtist	diététicien
antropologie	anthropologie
drank	boisson
bn-800-reactor	bn-800
thyreotoxicose	hyperthyroïdie
mamba's	dendroaspis
eierstok	ovaire
stromingsweerstand	traînée
janmashtami	janmashtami
vaishnavisme	vishnouisme
virus_	virus
mycose	mycose
bradykinine	bradykinine
grog	grog
ketamine	kétamine
screwdriver	screwdriver
ergine	ergine
megalopolis_	mégalopolis
balanitis	balanite
transcriptie_	transcription 
grappa_	grappa
hebei	hebei
geneesmiddel	médicament
hyponatriëmie	hyponatrémie
laesie	lésion 
halal	halal
italiaans	italien
brahma_	brahmā
geneeskunde	médecine
rama	rāma
ziekte	maladie
medische_diagnose	diagnostic 
actine	actine
daratumumab	daratumumab
bètablokkers	bêta-bloquant
enzym	enzyme
tachypnoe	tachypnée
polsslag	pouls
ustekinumab	ustékinumab
verwonding	traumatisme 
monogamie	monogamie
dakloosheid	sans-abri
pus	pus
anosmie	anosmie
lassen	soudage
nierziekte	néphropathie
nocardia	nocardia
percentiel	centile
ammonium	ammonium
interhalogeen	interhalogène
onderzeeboot	sous-marin
eenkristal	monocristal
quetiapine	quétiapine
ivabradine	ivabradine
oxidator	oxydant
pneumothorax	pneumothorax
benauwdheid	dyspnée
toxine	toxine
kerberos_	cerbère
elektrische_schok	électrisation 
cortison	cortisone
darmstadtium	darmstadtium
pramana	pramana
stoa	stoïcisme
purpura_	purpura
transmutatie_	transmutation
diastole_	diastole
schizofrenie	schizophrénie
insulinoom	nésidioblastome
kalium	potassium
psychopathologie	psychopathologie
thujon	thuyone
allergie	allergie
inotropie	inotropisme
graaf_	graphe 
pleura	plèvre
chelatie	chélation
gossypol	gossypol
hyperglykemie	hyperglycémie
kilogram	kilogramme
ritonavir	ritonavir
transmissie_	transmittance
alfachloralose	chloralose
hemoglobine	hémoglobine
oplosmiddel	solvant
monnikskap	aconitum
acetanilide	acétanilide
zuurstofgroep	chalcogène
aceton	acétone
qazvin	qazvin
asklepieion	asclépiéion
hypercholesterolemie	hypercholestérolémie
za'atar	zaatar
cardioversie	cardioversion
pregabaline	prégabaline
kraagdragers	hemichordata
supernova	supernova
atrium_	atrium 
theanine	théanine
kornbrand	korn 
walvisachtigen	cetacea
lycurgus_	lycurgue 
spoelworm	ascaris 
multipel_myeloom	myélome
rhodamine	rhodamine
clomifeen	clomifène
bronchoscopie	bronchoscopie
echocardiografie	échocardiographie
piperidine	pipéridine
dicaearchus_van_messana	dicéarque
aligarh_	aligarh
antihypertensiva	antihypertenseur
noscapine	noscapine
constantinopel	constantinople
hoofdpijn	céphalée
sarcomeer	sarcomère
mediaan_	médiane 
lets	letton
ieren	irlandais 
cytotoxine	cytotoxicité
christendom	christianisme
pens	panse
vermout	vermouth
elektronegativiteit	électronégativité
memantine	mémantine
fragmoplast	phragmoplaste
tafelsuiker	sucre
waterstof_	hydrogène
tulsidas	tulsîdâs
benzofenon	benzophénone
nitrox	nitrox
curatele_	tutelle
pons_	pont 
amyloïdose	amylose 
epicondylitis_lateralis	épicondylite
düsseldorf	düsseldorf
maryland	maryland
isoleucine	isoleucine
naoeka_	nauka 
engels	anglais
oplossing_	solution 
bayer	bayer 
oplosbaarheid	solubilité
blefarospasme	blépharospasme
neurologie	neurologie
civitas	civitas
inktvissen	céphalopode
corticosteroïden	corticoïde
heiligbeen	sacrum
cholecystokinine	cholécystokinine
babylonië	babylone 
coeloom	cœlome
vaticaanstad	vatican
poliovirus	poliovirus
genotype	génotype
duizeligheid	étourdissement
botbreuk	fracture
pietro_pomponazzi	pomponazzi
chersonesos_	chersonèse 
aristotelisme	aristotélisme
tupuxuara	tupuxuara
bombay	bombay
differentiële_telling_van_bloedcellen	hémogramme
hindoeïstische_tempel	mandir
neptuniet	neptunite
empyeem	empyème
dermatologie	dermatologie
diplopie	diplopie
etniciteit	ethnie
olanzapine	olanzapine
ethyleendiaminetetra-azijnzuur	edta
sharia	charia
cyclo-oxygenase	cyclooxygénase
orthopedie	orthopédie
val_	équivalent 
teflon	polytétrafluoroéthylène
lever	foie
indometacine	indométacine
sprint_	sprint 
radionuclide	radioisotope
acromegalie	acromégalie
imhotep	imhotep
pasteuriseren	pasteurisation
hafiz_	hafiz 
verslaving	addiction
akrai	akrai
blauw_	bleu
kikkers	anoures
methylglyoxaal	méthylglyoxal
hyperpigmentatie	hyperpigmentation
generatie_	génération 
stenose	sténose
wrat	verrue
menarche	ménarche
behaviorisme	béhaviorisme
aldehyde	aldéhyde
procaïne	procaïne
ethinylestradiol	éthinylestradiol
orgaan	organe
verstedelijking	urbanisation
maagdenpalmfamilie	apocynaceae
homocysteïne	homocystéine
natalizumab	natalizumab
ondersoort	sous-espèce
kans_	probabilité
methylhydrazine	méthylhydrazine
adenovirussen	adenoviridae
tadzjikistan	tadjikistan
detonatie	détonation
nutrien	nutrien
nycturie	nycturie
pubchem	pubchem
verband_	mèche 
sita_	sītā
farmacodynamiek	pharmacodynamique
celkern	noyau 
tentakel	tentacule
kopergordel	copperbelt
ziekenhuis	hôpital
knie_	genou
braken_	vomissement
chorasmië	khwarezm
amfetamine	amphétamine
rodehond	rubéole
remscheid	remscheid
peer_	pyrus
miconazol	miconazole
schedel	crâne
picrotoxine	picrotoxine
methamfetamine	méthamphétamine
strotklepje	épiglotte
madrassa	médersa
dierenrijk	animal
oogheelkunde	ophtalmologie
kassieten	kassites
hyperammoniëmie	hyperammoniémie
lanthanide	lanthanide
fibronectine	fibronectine
dpp-4-remmers	gliptine
citrus_	citrus
computertomografie	tomodensitométrie
kinase	kinase
amandelboom	amandier
anisocytose	anisocytose
furosemide	furosémide
nitinol	nitinol
al-nasa'i	an-nasa'i
neptunium	neptunium
lepidoliet	lépidolite
ouder	parent 
ramakrishna	râmakrishna
affix	affixe
hoest	toux
etilefrine	étiléfrine
lecce_	lecce
angiografie	angiographie
myofibril	myofibrille
al-farabi	al-fârâbî
biomarker	biomarqueur
auscultatie	auscultation
hemocyanine	hémocyanine
röntgenfoto	radiographie
buste_	buste 
asthenie	asthénie
slijm	mucus
pigment	pigment
luchtpijpvertakking	bronche
bejaarde	vieillesse
diacetyleen	butadiyne
cannabinoïde	cannabinoïde
paracelsus	paracelse
titine	titine 
amygdaline	amygdaline
spiercel	myocyte
filicudi	filicudi
saskatchewan	saskatchewan
ubiquitine	ubiquitine
utrecht_	utrecht
1,1,1-trichloorethaan	1,1,1-trichloroéthane
interpreter	interprète 
creatinine	créatinine
koude_rilling	frissonnement
gynaecologie	gynécologie
mediastinoscopie	médiastinoscopie
amgen	amgen
catecholamine	catécholamine
acetylering	acétylation
cytochroom	cytochrome
trichlooretheen	trichloréthylène
bloeding	hémorragie
universiteit	université
angiotensine	angiotensine
phronèsis	phronesis
streptokokken	streptocoque
begrijpen	compréhension
autopsie	autopsie
viviparie	viviparité
spirometrie	spirométrie
neurotransmitters	neurotransmetteur
endosulfan	endosulfan
kalibreren	étalonnage 
coca-cola	coca-cola
antiaritmica	antiarythmique
saturnus_	saturne 
oksel	aisselle
lymfangitis	lymphangite
cocktail	cocktail
diastereomeer	diastéréoisomérie
zuclopentixol	zuclopenthixol
brahmana_	brahmana
xanthine	xanthine
acupunctuur	acupuncture
alcohol_	alcool 
smart_drug	nootrope
wiskundige_optimalisatie	optimisation 
wikiversity	wikiversité
chinoline	quinoléine
vetfetisjisme	feeding
superphénix	superphénix
semenanalyse	spermogramme
nagel_	ongle
menopauze	ménopause
paprikapoeder	paprika
hemodialyse	hémodialyse
fraude	fraude
paronychia	panaris
leptospirose	leptospirose
levocetirizine	lévocétirizine
drug	narcotique
perzen	persans
encefalopathie	encéphalopathie
obesitas	obésité
verstikking	asphyxie
purushartha	purushartha
qiyan	qiyan
hasjiesj	haschich
ontsteking_	inflammation
immuunsuppressiva	immunosuppresseur
chlorose_	chlorose 
gebed	prière
spirometer	spiromètre
biofilm	biofilm
methylfenidaat	méthylphénidate
atlas_	atlas 
probioticum	probiotique
temperament	tempérament 
sedativum	sédatif
neoplasie	néoplasie
taormina	taormine
lipide	lipide
sonoluminescentie	sonoluminescence
mesopotamië	mésopotamie
aneurysma	anévrisme
geur	odeur
normocytaire_anemie	normocytaire
praxiteles	praxitèle
athetose	athétose
mifepriston	mifépristone
doxycycline	doxycycline
hippocrates_van_kos	hippocrate
tracheotomie	trachéotomie
ivacaftor	ivacaftor
morfologie_	morphologie 
elektrolyt	électrolyte
fugger_	fugger
anticoagulantia	anticoagulant
meetkunde	géométrie
wond	plaie
diltiazem	diltiazem
schimmels	fungi
massage	massage
polysomnografie	polysomnographie
dosha	dosha
bot_	os
medicatiebewaking	pharmacovigilance
legionella	legionella
weekdieren	mollusca
blad	feuille
fotocontactallergie	photosensibilisation
spasmolyticum	antispasmodique
ammoniak	ammoniac
advocaat_	advocaat
sting_	sting
anamnese_	anamnèse 
medlineplus	medlineplus
thermoplast	thermoplastique
xerostomie	xérostomie
leucine	leucine
myosine	myosine
kennistheorie	épistémologie
serologie	sérologie
hartklopping	palpitation
hypofyse	hypophyse
keelontsteking	pharyngite
hypokaliëmie	hypokaliémie
bank_	banque
zoethout	réglisse
diureticum	diurétique
belasting_	impôt
rutherfordium	rutherfordium
hydratatie	hydratation
vier_elementen_	bhuta
erythrasma	érythrasma
myasthenia_gravis	myasthénie
alhazen	alhazen
cyprus	chypre 
pittsburgh	pittsburgh
skutterudiet	skuttérudite
dam_	barrage
retrovirussen	retroviridae
infrarood	infrarouge
troponine	troponine
centrosoom	centrosome
elektromagnetisme	électromagnétisme
debiet	débit 
mitose	mitose
haecceitas	eccéité
hersenvliezen	méninges
massa_	masse
proteolyse	protéolyse
hypnotherapie	hypnothérapie
acrylonitril	acrylonitrile
purana's	purana
cytokine	cytokine
pericarditis	péricardite
sumak_	rhus
erytromycine	érythromycine
waan	délire
bilirubine	bilirubine
bekrachtiging	renforcement
miose	myosis
hartglycosiden	digitalique
1,10-fenantroline	1,10-phénanthroline
ptolemais_	ptolémaïs 
aquanaut_	aquanaute
spinachtigen	arachnida
alcoholisme	alcoolisme
heuristiek	heuristique
niezen	éternuement
halogeen	halogène
geslacht_	genre 
heart	heart 
plankenkoorts	trac
radioactiviteit	radioactivité
ramlila	ramlila
kruidnagel	giroflier
ontstekingsremmers	anti-inflammatoire
condoom	préservatif
baby	nourrisson
attisch_	attique 
microcirculatie	microcirculation
carcinoom	carcinome
bacteriën	bactérie
apen_van_de_oude_wereld	cercopithecidae
marsepein	massepain
endocarditis	endocardite
lymfangioleiomyomatose	lymphangioléiomyomatose
ftsz	ftsz
palonosetron	palonosétron
sclerose	sclérose
soennisme	sunnisme
engeland	angleterre
maag	estomac
haarvat	capillaire 
scriptie	thèse
trombocytenaggregatieremmers	antiagrégant
stellarator	stellarator
datura	datura
parasitisme	parasitisme
haptoglobine	haptoglobine
coronavirussen	coronavirus
cryotherapie	cryothérapie
orthopneu	orthopnée
avicenna	avicenne
coniotomie	cricothyroïdotomie
dysenterie	dysenterie
primaten	primates
stimulantia	stimulant
windhond	lévrier
tensor	tenseur
immigratie	immigration
afro-amerikanen	afro-américains
moksha	moksha
ader_	veine
rozenkruisers	rose-croix
thanatofobie	thanatophobie
guinee-bissau	guinée-bissau
triatlon	triathlon
medtronic	medtronic
papier	papier
canule_	canule
histopathologie	histopathologie
lachen_	rire
cesium	césium
hydrostatica	hydrostatique
protonentherapie	protonthérapie
acute_cholangitis	angiocholite
antimicrobiële_middelen	antimicrobien
dextraan	dextrane
schorpioenen_	scorpiones
fysiotherapie	physiothérapie
kogelvissen	poisson-globe
endotheel	endothélium
fenylalanine	phénylalanine
lager_	lager
tinctuur_	alcoolature
plasmide	plasmide
tannine	tanin
abbott_laboratories	abbott 
endocard	endocarde
hyssop	hysope
aorta	aorte
aardrijkskunde	géographie
boeotië	béotie
psoriasis	psoriasis
voedingsstof	nutriment
exantheem	exanthème
oppervlakteafvoer	ruissellement
tetanus	tétanos
chandra_x-ray_observatory	chandra 
fysiologie	physiologie
klaproos	pavot
cyste	kyste 
epaminondas	épaminondas
armagnac_	armagnac 
erasistratos	érasistrate
bloedarmoede	anémie
koken_	ébullition
concentratie_	concentration 
hoogte	altitude
trimethylamine	triméthylamine
deviant_gedrag	déviance
testen_	test 
raw-foodisme	crudivorisme
ayurveda	ayurveda
pandemie	pandémie
