apheresis	aphérèse 
parathyroidectomy	parathyroïdectomie
whey	lactosérum
coagulopathy	coagulopathie
thujone	thuyone
phronesis	phronesis
lumen 	lumière 
ketoconazole	kétoconazole
metapontum	métaponte
tajikistan	tadjikistan
baicalein	baicaléine
indigestion	dyspepsie
wound	plaie
natalizumab	natalizumab
fatigue	fatigue 
erlotinib	erlotinib
medicine	médecine
saxitoxin	saxitoxine
allodynia	allodynie
pumsavana	pumsavana
furosemide	furosémide
glucosamine	glucosamine
amide	amide
probability	probabilité
olanzapine	olanzapine
cardiomegaly	cardiomégalie
obesity	obésité
trout	truite
statin	statine
inotrope	inotropisme
interstitium	interstitium
lydd	lydd
sparteine	spartéine
autobiography	autobiographie
antiarin	antiarine
bust 	buste 
chancellor 	chancelier 
dräger 	drägerwerk
exosome 	exosome 
drill	perceuse
genogram	génogramme
correlation	corrélation 
phosphocholine	phosphocholine
uterus	utérus
fukuryu	fukuryū
zpp 	zpp 
mucin	mucine
sulfanilamide	sulfanilamide
pollution	pollution
kampala	kampala
baculum	baculum
eurasia	eurasie
ear	oreille
riboflavin	riboflavine
athena	athéna
beta-lactoglobulin	bêta-lactoglobuline
feni 	fenny
epimer	épimère
routledge	routledge
allotropy	allotropie
plastination	plastination
antispasmodic	antispasmodique
sneeze	éternuement
rosicrucianism	rose-croix
8-hydroxyquinoline	8-hydroxyquinoléine
dicaearchus	dicéarque
jiaolong 	jiaolong
interpreter 	interprète 
utrecht	utrecht
hamadan	hamadan
medication	médicament
helorus	heloros
karyorrhexis	caryorrhexie
antidiuretic	antidiurétique
pre-eclampsia	pré-éclampsie
kif15	kif15
phenols	phénol 
electrolyte	électrolyte
dentition	denture
pnictogen	pnictogène
fluticasone/salmeterol	sérétide
paronychia	panaris
coprophagia	coprophagie
amineptine	amineptine
linuron	linuron
spherocytosis	sphérocytose
mepacrine	quinacrine
para-methoxyamphetamine	paraméthoxyamphétamine
laxative	laxatif
nordazepam	nordazépam
al-kindi	al-kindi
polysomnography	polysomnographie
provost 	provost 
sumac	rhus
tautomer	tautomère
vertebra	vertèbre
ministry 	ministère 
archosaur	archosauria
vasoconstriction	vasoconstriction
tetrodotoxin	tétrodotoxine
anaspidea	anaspidea
desmin	desmine
hepatotoxicity	hépatotoxicité
homeostasis	homéostasie
clearance 	clairance 
aligarh	aligarh
panchadasi	panchadashi
cytochrome	cytochrome
haloperidol	halopéridol
lead	plomb
artery	artère
marl	marne 
purpura	purpura
angiotensin	angiotensine
menarche	ménarche
adapalene	adapalène
serology	sérologie
vertebra	vertèbre
leucippus	leucippe
mastitis	mammite
sommelier	sommelier
rize	rize
homophobia	homophobie
tic	tic
rasagiline	rasagiline
methyllithium	méthyllithium
phenindione	phénindione
spain	espagne
frog	anoures
genome	génome
hospice	hospice
scutellaria	scutellaria
osteocalcin	ostéocalcine
fertilizer	engrais
statin	statine
coloureds	coloured
daclizumab	daclizumab
smartwatch	smartwatch
neoplasm	néoplasie
chlorproethazine	chlorproéthazine
pubmed	pubmed
infection	infection
hospice	hospice
dexter 	dexter 
ketorolac	kétorolac
transudate	transsudat
methacholine	méthacholine
chickenpox	varicelle
valine	valine
highball	highball 
saturn 	saturne 
rosicrucianism	rose-croix
endosulfan	endosulfan
atharvaveda	atharva-véda
eclampsia	éclampsie
fatigue	fatigue 
radiography	radiographie
carbonate	carbonate
polywell	polywell
vegetarianism	végétarisme
ergine	ergine
polonium	polonium
mifepristone	mifépristone
duloxetine	duloxétine
oxiracetam	oxiracétam
pubchem	pubchem
eukaryote	eukaryota
arecoline	arécoline
palestine 	palestine 
mobula	mobula
singani	singani 
pyknosis	pycnose
acetylcholinesterase	acétylcholinestérase
sphincter	sphincter
denervation	dénervation
pregnancy	grossesse
kif24	kif24
sugar	sucre
virulence	virulence
granuloma	granulome
lentini	lentini
tachypnea	tachypnée
chlorhexidine	chlorhexidine
poppers	poppers
guanfacine	guanfacine
antiferromagnetism	antiferromagnétisme
guanine	guanine
propyne	propyne
medication	médicament
evidence	preuve
slamf7	slamf7
dogma	dogme
aristoxenus	aristoxène
disease	maladie
stridor	stridor
pharmacopoeia	pharmacopée
aristotelianism	aristotélisme
cardiology	cardiologie
astrazeneca	astrazeneca
artemisinin	artémisinine
pittsburgh	pittsburgh
minoxidil	minoxidil
adventitia	adventice 
textile	textile
barotrauma	barotraumatisme
5-it	5-indole
cladribine	cladribine
curaçao 	curaçao 
haptoglobin	haptoglobine
diuretic	diurétique
ischemia	ischémie
calorie	calorie
myofibroblast	myofibroblaste
patisiran	patisiran
dihydromorphine	dihydromorphine
gentamicin	gentamicine
trabectedin	trabectédine
amphetamine	amphétamine
assignment 	affectation 
moment 	moment 
neolithic	néolithique
mianserin	miansérine
mollusca	mollusca
edema	œdème
iatrochemistry	iatrochimie
motilin	motiline
fluphenazine	fluphénazine
brachytherapy	curiethérapie
aliskiren	aliskirène
paracelsus	paracelse
sirukumab	sirukumab
decompensation	décompensation
immunodeficiency	immunodéficience
camagüey	camagüey
masterpiece	chef-d'œuvre
bulb	bulbe
depressant	dépresseur
emotion	émotion
pharmacovigilance	pharmacovigilance
vaishnavism	vishnouisme
surya	sūrya
solvent	solvant
vertebra	vertèbre
solution 	solution 
miami	miami
hydrocortisone	hydrocortisone
exercise	fitness
berlin	berlin
remscheid	remscheid
capillary	capillaire 
uniprot	uniprot
paleopathology	paléopathologie
pump	pompe
wikisource	wikisource
metalloproteinase	métalloprotéinase
extravasation	extravasation
ehrlichiosis	ehrlichiose
tachycardia	tachycardie
karoshi	karōshi
enteritis	entérite
integrase	intégrase
terumo	terumo
logotherapy	logothérapie
tavern	taverne 
cyclopropenylidene	cyclopropénylidène
uterus	utérus
papaver	pavot
halogen	halogène
cd20	cd20
parasitism	parasitisme
allylglycine	allylglycine
demosthenes	démosthène
fluorouracil	fluorouracile
diphenhydramine	diphénhydramine
kiss	baiser
avicenna	avicenne
marinejegerkommandoen	marinejegerkommandoen
heme	hème
drag 	traînée
hindus	hindous
2,5-dimethoxy-4-methylamphetamine	2,5-diméthoxy-4-méthylamphétamine
dientamoebiasis	dientamœbose
nutrient	nutriment
anemophily	anémophilie
hydronephrosis	hydronéphrose
1,1,1-trichloroethane	1,1,1-trichloroéthane
fungus	fungi
trofosfamide	trofosfamide
ethanol	éthanol
kilogram	kilogramme
nitrile	nitrile
bronchus	bronche
alosetron	alosétron
immunofluorescence	immunofluorescence
knee	genou
diosmetin	diosmétine
ganglioside	ganglioside
ginkgolide	ginkgolide
combinatorics	combinatoire
pfam	pfam
hemocyanin	hémocyanine
hypothyroidism	hypothyroïdie
doxorubicin	doxorubicine
hemangiopericytoma	hémangiopéricytome
atrazine	atrazine
coffeehouse	café 
hydrotherapy	hydrothérapie
java	java 
philippines	philippines
atropisomer	atropoisomère
thrombosis	thrombose
overtone	partiel 
gamma-glutamyltransferase	gamma-glutamyltranspeptidase
1,000,000,000	milliard
chemoprophylaxis	chimioprévention
psychopathology	psychopathologie
sociology	sociologie
pneumostome	pneumostome
gossypetin	gossypétine
tropisetron	tropisétron
pemphigus	pemphigus
cannula	canule
quakers	quaker
yorkshire	yorkshire
diazenylium	diazénylium
ataxia	ataxie
rumen	panse
nelfinavir	nelfinavir
bronchodilator	bronchodilatateur
leucine	leucine
atovaquone	atovaquone
atrium 	atrium 
lumiliximab	lumiliximab
patient	patient
cardioversion	cardioversion
ohm	ohm 
cytotoxicity	cytotoxicité
pimavanserin	pimavansérine
bradycardia	bradycardie
commander 	commandeur
insulinoma	nésidioblastome
weakness	asthénie
kifc3	kifc3
eurocentrism	eurocentrisme
mycobacterium	mycobacterium
game 	gibier
sacrum	sacrum
chamomile	camomille
perspiration	sueur
pericardium	péricarde
anti-inflammatory	anti-inflammatoire
interhalogen	interhalogène
négritude	négritude
rivaroxaban	rivaroxaban
benzopyrene	benzopyrène
trpm8	trpm8
atosiban	atosiban
paracrystallinity	paracristal
clove	giroflier
quartile	quartile
scalpel	bistouri
adamantane	adamantane
prostaglandin	prostaglandine
atresia	atrésie
whisky	whisky
actuary	actuaire
ibex	bouquetin
inflammation	inflammation
aorta	aorte
neurotoxicity	neurotoxicité
humanities	lettres 
advocaat	advocaat
contraindication	contre-indication
methylphenidate	méthylphénidate
vertebra	vertèbre
behaviorism	béhaviorisme
litharge	litharge
language	langage
natron	natron
dräger 	drägerwerk
peroxidase	peroxydase
brazil	brésil
uremia	urémie
osmolyte	osmolyte
eplerenone	éplérénone
analgesic	antalgique
trachea	trachée
fossil	fossile
bilirubin	bilirubine
hippocrates	hippocrate
thioamide	thioamide
keratosis	kératose
rilonacept	rilonacept
roehampton	roehampton
antipsychotic	neuroleptique
anisocytosis	anisocytose
telenzepine	télenzépine
osteochondrosis	ostéochondrite
blood	sang
lignan	lignane
neper	néper
lorcaserin	lorcasérine
hermetica	hermetica
electrocardiography	électrocardiographie
chalcogen	chalcogène
poodle	caniche
alpha-2-macroglobulin	alpha-2-macroglobuline
asepsis	asepsie
pharynx	pharynx
slamf7	slamf7
capsaicin	capsaïcine
alpha-mannosidosis	alpha-mannosidose
transport	transport
bhakti	bhakti
hyperhidrosis	hyperhidrose
hemoglobin	hémoglobine
terazosin	térazosine
dimercaprol	dimercaprol
arginine	arginine
curcumin	curcumine
bone	os
belatacept	bélatacept
liquorice	réglisse
hemopexin	hémopexine
cambridge	cambridge
infant	nourrisson
rationalism	rationalisme
halophyte	halophyte
viscosity	viscosité
jund	jund
lying 	décubitus
eschatology	eschatologie
pregnenolone	prégnénolone
primate	primates
motto	devise 
impulsivity	impulsivité
transcortin	transcortine
tolvaptan	tolvaptan
intention	intention
equivalent 	équivalent 
cough	toux
1-butanol	butan-1-ol
hypoxemia	hypoxémie
eurotransplant	eurotransplant
microscope	microscope
tentacle	tentacule
3,4-methylenedioxyamphetamine	3,4-méthylènedioxyamphétamine
ziryab	ziriab
lip	lèvre
epidermis	épiderme 
antihistamine	antihistaminique
probiotic	probiotique
18-methoxycoronaridine	18-methoxycoronaridine
homocysteine	homocystéine
wound	plaie
retinoid	rétinoïde
ivabradine	ivabradine
anode	anode
heart	cœur
dracula 	dracula 
coumatetralyl	coumatétralyle
digitoxin	digitoxine
physiology	physiologie
cabazitaxel	cabazitaxel
eudaimonia	eudaimonia
lobotomy	lobotomie
methamphetamine	méthamphétamine
medicine	médecine
fludiazepam	fludiazépam
aphrodisiac	aphrodisiaque
senegal	sénégal
carbohydrate	glucide
sumer	sumer
anatolia	anatolie
biofilm	biofilm
endothelin	endothéline
carnivora	carnivora
pneumocephalus	pneumocéphale
acetylation	acétylation
judo	judo
scurvy	scorbut
eosinophilia	éosinophilie
nail 	ongle
mitosis	mitose
reimbursement	remboursement
triclosan	triclosan
sponge	porifera
medicine	médecine
eptifibatide	eptifibatide
catheter	cathéter
tabun 	tabun
crackles	crépitant
keratolytic	kératolytique
flumazenil	flumazénil
therapy	traitement 
inotrope	inotropisme
hyperammonemia	hyperammoniémie
sorbitol	sorbitol
behavior	comportement
toxin	toxine
hemagglutinin	hémagglutinine
photosensitivity	photosensibilité
ddt	dichlorodiphényltrichloroéthane
understanding	compréhension
isoleucine	isoleucine
cerussite	cérusite
trypanosomiasis	trypanosomiase
thanatosensitivity	thanatosensitivité
glycogen	glycogène
nicorandil	nicorandil
madrasa	médersa
dénia	dénia
psychiatry	psychiatrie
vertebra	vertèbre
adenosylcobalamin	adénosylcobalamine
thymosin	thymosine
bleeding	hémorragie
purpura	purpura
grain	grain 
oleuropein	oleuropéine
mizolastine	mizolastine
urination	miction
stigmine	stigmine
museum	musée
amsonia	amsonia
avicenna	avicenne
gonadotropin	gonadotrophine
notary	notaire
autosome	autosome
francium	francium
paraquat	paraquat
vertebrate	vertébrés
mycoplasmataceae	mycoplasmataceae
al-asmaʿi	al-asmai
calcitriol	calcitriol
2,5-dimethoxy-4-bromoamphetamine	2,5-diméthoxy-4-bromoamphétamine
intuition	intuition
ritonavir	ritonavir
chlortalidone	chlortalidone
shandy	panaché
endocardium	endocarde
vomiting	vomissement
drama	drame 
velia	élée
ceritinib	ceritinib
paint	peinture 
thought	pensée
lung	poumon
contraindication	contre-indication
clover	trèfle
calvados	calvados 
hemofiltration	hémofiltration
binder 	liant
chemotherapy	chimiothérapie
anticholinergic	anticholinergique
strophanthin	strophanthine
amiodarone	amiodarone
chromium	chrome
calorimetry	calorimétrie
invertebrate	invertébré
metastasis	métastase 
canning	conserve
quetiapine	quétiapine
cytokine	cytokine
pear	pyrus
chancre	ulcération
daratumumab	daratumumab
salbutamol	salbutamol
irinotecan	irinotécan
mysticism	mystique
nucleotide	nucléotide
trachea	trachée
mediastinoscopy	médiastinoscopie
dapoxetine	dapoxétine
navaratri	navratri
pesto	pesto
horseradish	raifort
bilastine	bilastine
zuclopenthixol	zuclopenthixol
prognosis	pronostic 
electrolyte	électrolyte
cetuximab	cétuximab
hemopericardium	hémopéricarde
injury	traumatisme 
urokinase	urokinase
iquique	iquique
eucryptite	eucryptite
shichimi	shichimi
leukopenia	leucopénie
anticoagulant	anticoagulant
lung	poumon
ageing	vieillissement
shepseskaf-ankh	chepseskaf-ânkh
fatsa	fatsa
diethylcarbamazine	diéthylcarbamazine
sarissa	sarisse
perphenazine	perphénazine
furosemide	furosémide
valdecoxib	valdécoxib
levitation 	lévitation 
liquorice	réglisse
cannabinoid	cannabinoïde
cirrhosis	cirrhose
aziridine	aziridine
holi	holi
anencephaly	anencéphalie
hemiparesis	hémiparésie
digestion	digestion
electrooculography	électrooculographie
angiography	angiographie
positivism	positivisme
malaria	paludisme
monofin	monopalme
cobalt	cobalt
pi 	pi 
vodka	vodka
behavior	comportement
myosin	myosine
levobunolol	lévobunolol
kinase	kinase
electrostatics	électrostatique
neurofilament	neurofilament
carmustine	carmustine
scar	cicatrice
bihu	bihu
shampoo	shampooing
